pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	118.85	51.9632	0	54.7844	69.216	0.489926	5.66555
20 <pt<25 	3<chiso range<9 	118.85	51.9632	0	54.9199	68.6558	0.510198	5.57493
20 <pt<25 	3<chiso range<10 	118.85	51.9632	0	55.9058	67.2559	0.666128	5.40403
20 <pt<25 	3<chiso range<11 	118.85	51.9632	0	56.5877	66.3941	0.770894	5.30537
20 <pt<25 	3<chiso range<12 	118.85	51.9632	0	56.04	67.0196	0.686574	5.37309
20 <pt<25 	3<chiso range<13 	118.85	51.9632	0	55.4309	67.6977	0.590667	5.44596
20 <pt<25 	4<chiso range<9 	118.85	51.9632	0	51.7614	72.0151	0.0369939	5.93547
20 <pt<25 	4<chiso range<10 	118.85	51.9632	0	53.5271	69.7224	0.276084	5.66126
20 <pt<25 	4<chiso range<11 	118.85	51.9632	0	54.6401	68.3642	0.46211	5.50636
20 <pt<25 	4<chiso range<12 	118.85	51.9632	0	54.2277	68.8578	0.394117	5.56179
20 <pt<25 	4<chiso range<13 	118.85	51.9632	0	53.7232	69.4336	0.30934	5.62525
20 <pt<25 	5<chiso range<10 	118.85	51.9632	0	52.9309	70.215	0.17258	5.70367
20 <pt<25 	5<chiso range<11 	118.85	51.9632	0	54.3302	68.5784	0.410611	5.52174
20 <pt<25 	5<chiso range<12 	118.85	51.9632	0	53.8979	69.0977	0.338517	5.58018
20 <pt<25 	5<chiso range<13 	118.85	51.9632	0	53.3617	69.7134	0.24729	5.64819
20 <pt<25 	6<chiso range<11 	118.85	51.9632	0	56.9956	66.0001	0.83308	5.26711
20 <pt<25 	6<chiso range<12 	118.85	51.9632	0	56.0549	67.051	0.689236	5.38022
20 <pt<25 	6<chiso range<13 	118.85	51.9632	0	55.1192	68.0809	0.540984	5.49088
20 <pt<25 	7<chiso range<12 	118.85	51.9632	0	57.3524	65.5805	0.885368	5.21328
20 <pt<25 	7<chiso range<13 	118.85	51.9632	0	56.0216	66.9412	0.683248	5.3598
20 <pt<25 	8<chiso range<13 	118.85	51.9632	0	55.9083	66.8381	0.664402	5.33586
#######################################################################################
25 <pt<30 	3<chiso range<8 	64.6011	23.1918	0	23.8291	43.591	0.155592	4.7786
25 <pt<30 	3<chiso range<9 	64.6011	23.1918	0	21.9908	45.4985	0.317811	5.06517
