pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	21.6909	31.9308	1.47208	0.489908	0.0317322	30.952
20 <pt<25 	3<chiso range<9 	21.6909	31.9308	1.47208	0.494216	0.0336724	29.0406
20 <pt<25 	3<chiso range<10 	21.6909	31.9308	1.47208	0.493842	0.0356749	27.421
20 <pt<25 	3<chiso range<11 	21.6909	31.9308	1.47208	0.514298	0.037549	25.5076
20 <pt<25 	3<chiso range<12 	21.6909	31.9308	1.47208	0.52307	0.038917	24.3856
20 <pt<25 	3<chiso range<13 	21.6909	31.9308	1.47208	0.514126	0.0397175	24.1193
20 <pt<25 	4<chiso range<9 	21.6909	31.9308	1.47208	0.531034	0.030272	31.0864
20 <pt<25 	4<chiso range<10 	21.6909	31.9308	1.47208	0.531038	0.0325001	28.9551
20 <pt<25 	4<chiso range<11 	21.6909	31.9308	1.47208	0.552543	0.0345576	26.6089
20 <pt<25 	4<chiso range<12 	21.6909	31.9308	1.47208	0.560651	0.0360536	25.2799
20 <pt<25 	4<chiso range<13 	21.6909	31.9308	1.47208	0.54744	0.0369332	25.0355
20 <pt<25 	5<chiso range<10 	21.6909	31.9308	1.47208	0.489304	0.0287934	34.1321
20 <pt<25 	5<chiso range<11 	21.6909	31.9308	1.47208	0.523924	0.0311962	30.3934
20 <pt<25 	5<chiso range<12 	21.6909	31.9308	1.47208	0.53824	0.0328933	28.3901
20 <pt<25 	5<chiso range<13 	21.6909	31.9308	1.47208	0.525236	0.0338667	27.958
20 <pt<25 	6<chiso range<11 	21.6909	31.9308	1.47208	0.574041	0.0283144	31.7168
20 <pt<25 	6<chiso range<12 	21.6909	31.9308	1.47208	0.58434	0.0301515	29.4427
20 <pt<25 	6<chiso range<13 	21.6909	31.9308	1.47208	0.564912	0.0312326	29.0456
20 <pt<25 	7<chiso range<12 	21.6909	31.9308	1.47208	0.610407	0.0264615	32.5634
20 <pt<25 	7<chiso range<13 	21.6909	31.9308	1.47208	0.584368	0.0276882	32.0611
20 <pt<25 	8<chiso range<13 	21.6909	31.9308	1.47208	0.535271	0.0238595	39.2637
#######################################################################################
25 <pt<50 	3<chiso range<8 	39.0886	33.813	0.865035	0.341394	0.0313795	16.6874
25 <pt<50 	3<chiso range<9 	39.0886	33.813	0.865035	0.350261	0.0333289	15.4453
25 <pt<50 	3<chiso range<10 	39.0886	33.813	0.865035	0.359453	0.0353155	14.3161
25 <pt<50 	3<chiso range<11 	39.0886	33.813	0.865035	0.346191	0.0367057	14.1352
25 <pt<50 	3<chiso range<12 	39.0886	33.813	0.865035	0.326477	0.0378941	14.2122
25 <pt<50 	3<chiso range<13 	39.0886	33.813	0.865035	0.327534	0.0392476	13.6951
25 <pt<50 	4<chiso range<9 	39.0886	33.813	0.865035	0.36277	0.0299626	16.7631
25 <pt<50 	4<chiso range<10 	39.0886	33.813	0.865035	0.372379	0.0321771	15.3108
25 <pt<50 	4<chiso range<11 	39.0886	33.813	0.865035	0.354542	0.0336849	15.1549
25 <pt<50 	4<chiso range<12 	39.0886	33.813	0.865035	0.330524	0.0349747	15.2828
25 <pt<50 	4<chiso range<13 	39.0886	33.813	0.865035	0.331215	0.0364304	14.6531
25 <pt<50 	5<chiso range<10 	39.0886	33.813	0.865035	0.3742	0.0287195	17.0906
25 <pt<50 	5<chiso range<11 	39.0886	33.813	0.865035	0.352026	0.0303939	16.8787
25 <pt<50 	5<chiso range<12 	39.0886	33.813	0.865035	0.324174	0.0318273	16.9936
25 <pt<50 	5<chiso range<13 	39.0886	33.813	0.865035	0.325804	0.0334287	16.1308
25 <pt<50 	6<chiso range<11 	39.0886	33.813	0.865035	0.328801	0.0269638	19.8872
25 <pt<50 	6<chiso range<12 	39.0886	33.813	0.865035	0.300851	0.0285692	19.748
25 <pt<50 	6<chiso range<13 	39.0886	33.813	0.865035	0.304659	0.0303356	18.4725
25 <pt<50 	7<chiso range<12 	39.0886	33.813	0.865035	0.291813	0.0253371	22.6238
25 <pt<50 	7<chiso range<13 	39.0886	33.813	0.865035	0.297173	0.0273047	20.7972
25 <pt<50 	8<chiso range<13 	39.0886	33.813	0.865035	0.297456	0.023399	24.2565
#######################################################################################
50 <pt<400 	3<chiso range<8 	19.3999	7.46172	0.384627	0.158977	0.0471238	4.78845
50 <pt<400 	3<chiso range<9 	19.3999	7.46172	0.384627	0.166957	0.0522178	4.1685
50 <pt<400 	3<chiso range<10 	19.3999	7.46172	0.384627	0.164063	0.0546056	4.03921
50 <pt<400 	3<chiso range<11 	19.3999	7.46172	0.384627	0.159555	0.057399	3.92118
50 <pt<400 	3<chiso range<12 	19.3999	7.46172	0.384627	0.156892	0.0598425	3.80557
50 <pt<400 	3<chiso range<13 	19.3999	7.46172	0.384627	0.162944	0.0628253	3.52856
50 <pt<400 	4<chiso range<9 	19.3999	7.46172	0.384627	0.163551	0.0476915	4.63554
50 <pt<400 	4<chiso range<10 	19.3999	7.46172	0.384627	0.160325	0.050308	4.45857
50 <pt<400 	4<chiso range<11 	19.3999	7.46172	0.384627	0.155593	0.0533289	4.29474
50 <pt<400 	4<chiso range<12 	19.3999	7.46172	0.384627	0.152837	0.0559415	4.14343
50 <pt<400 	4<chiso range<13 	19.3999	7.46172	0.384627	0.159871	0.0591255	3.80133
50 <pt<400 	5<chiso range<10 	19.3999	7.46172	0.384627	0.152453	0.0448982	5.17111
50 <pt<400 	5<chiso range<11 	19.3999	7.46172	0.384627	0.147603	0.0482573	4.91167
50 <pt<400 	5<chiso range<12 	19.3999	7.46172	0.384627	0.143491	0.0511307	4.71607
50 <pt<400 	5<chiso range<13 	19.3999	7.46172	0.384627	0.152127	0.0545833	4.25954
50 <pt<400 	6<chiso range<11 	19.3999	7.46172	0.384627	0.141598	0.0437069	5.56042
50 <pt<400 	6<chiso range<12 	19.3999	7.46172	0.384627	0.141886	0.0469642	5.16863
50 <pt<400 	6<chiso range<13 	19.3999	7.46172	0.384627	0.151327	0.0506775	4.60362
50 <pt<400 	7<chiso range<12 	19.3999	7.46172	0.384627	0.134961	0.0418618	5.96405
50 <pt<400 	7<chiso range<13 	19.3999	7.46172	0.384627	0.147081	0.0460087	5.16306
