pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	31.9308	25.1813	4.46668	1.51108
20 <pt<25 	3<chiso range<9 	31.9308	25.7188	4.3906	1.41484
20 <pt<25 	3<chiso range<10 	31.9308	25.7356	4.26479	1.45264
20 <pt<25 	3<chiso range<11 	31.9308	26.9624	4.36032	1.13946
20 <pt<25 	3<chiso range<12 	31.9308	27.4732	4.3619	1.02194
20 <pt<25 	3<chiso range<13 	31.9308	26.9955	4.22652	1.1677
20 <pt<25 	4<chiso range<9 	31.9308	27.5379	5.07978	0.864782
20 <pt<25 	4<chiso range<10 	31.9308	27.6249	4.88479	0.881491
20 <pt<25 	4<chiso range<11 	31.9308	28.9678	4.95586	0.597878
20 <pt<25 	4<chiso range<12 	31.9308	29.4675	4.91804	0.50087
20 <pt<25 	4<chiso range<13 	31.9308	28.7525	4.71239	0.674456
20 <pt<25 	5<chiso range<10 	31.9308	25.1307	4.67776	1.45371
20 <pt<25 	5<chiso range<11 	31.9308	27.4453	4.95122	0.905938
20 <pt<25 	5<chiso range<12 	31.9308	28.3408	4.95964	0.723843
20 <pt<25 	5<chiso range<13 	31.9308	27.6249	4.72807	0.91071
20 <pt<25 	6<chiso range<11 	31.9308	30.1485	5.85799	0.304251
20 <pt<25 	6<chiso range<12 	31.9308	30.8074	5.72705	0.196157
20 <pt<25 	6<chiso range<13 	31.9308	29.7583	5.38253	0.403621
20 <pt<25 	7<chiso range<12 	31.9308	31.9665	6.3532	0.00561922
20 <pt<25 	7<chiso range<13 	31.9308	30.5836	5.87083	0.229474
20 <pt<25 	8<chiso range<13 	31.9308	27.2745	5.50722	0.84549
#######################################################################################
25 <pt<50 	3<chiso range<8 	33.813	24.6497	4.286	2.13796
25 <pt<50 	3<chiso range<9 	33.813	25.3386	4.25667	1.99085
25 <pt<50 	3<chiso range<10 	33.813	26.018	4.27465	1.82354
25 <pt<50 	3<chiso range<11 	33.813	25.0594	4.04046	2.16649
25 <pt<50 	3<chiso range<12 	33.813	23.633	3.74659	2.71714
25 <pt<50 	3<chiso range<13 	33.813	23.695	3.7143	2.72407
25 <pt<50 	4<chiso range<9 	33.813	26.1685	4.61637	1.65595
25 <pt<50 	4<chiso range<10 	33.813	26.9383	4.61428	1.48987
25 <pt<50 	4<chiso range<11 	33.813	25.6543	4.28102	1.90578
25 <pt<50 	4<chiso range<12 	33.813	23.9251	3.90454	2.53241
25 <pt<50 	4<chiso range<13 	33.813	23.9622	3.85446	2.55569
25 <pt<50 	5<chiso range<10 	33.813	27.0076	4.87624	1.39562
25 <pt<50 	5<chiso range<11 	33.813	25.4342	4.42584	1.89315
25 <pt<50 	5<chiso range<12 	33.813	23.4608	3.96565	2.61047
25 <pt<50 	5<chiso range<13 	33.813	23.5707	3.911	2.61884
25 <pt<50 	6<chiso range<11 	33.813	23.7758	4.28057	2.34483
25 <pt<50 	6<chiso range<12 	33.813	21.8164	3.79308	3.16276
25 <pt<50 	6<chiso range<13 	33.813	22.0703	3.75209	3.12964
25 <pt<50 	7<chiso range<12 	33.813	21.0904	3.85163	3.30317
25 <pt<50 	7<chiso range<13 	33.813	21.4663	3.80122	3.24809
25 <pt<50 	8<chiso range<13 	33.813	21.4572	4.03771	3.0601
#######################################################################################
50 <pt<400 	3<chiso range<8 	7.46172	4.7903	2.16211	1.23556
50 <pt<400 	3<chiso range<9 	7.46172	4.93048	2.15302	1.17567
50 <pt<400 	3<chiso range<10 	7.46172	4.81297	2.04876	1.29286
50 <pt<400 	3<chiso range<11 	7.46172	4.65181	1.95481	1.43743
50 <pt<400 	3<chiso range<12 	7.46172	4.54121	1.89188	1.54371
50 <pt<400 	3<chiso range<13 	7.46172	4.69001	1.94034	1.42847
50 <pt<400 	4<chiso range<9 	7.46172	4.90332	2.19314	1.16655
50 <pt<400 	4<chiso range<10 	7.46172	4.76644	2.06948	1.30239
50 <pt<400 	4<chiso range<11 	7.46172	4.59029	1.96096	1.4643
50 <pt<400 	4<chiso range<12 	7.46172	4.46825	1.8869	1.58645
50 <pt<400 	4<chiso range<13 	7.46172	4.64242	1.94451	1.44988
50 <pt<400 	5<chiso range<10 	7.46172	4.6386	2.06687	1.36589
50 <pt<400 	5<chiso range<11 	7.46172	4.4427	1.93689	1.55869
50 <pt<400 	5<chiso range<12 	7.46172	4.26921	1.83568	1.73914
50 <pt<400 	5<chiso range<13 	7.46172	4.48385	1.90651	1.56195
50 <pt<400 	6<chiso range<11 	7.46172	4.36199	2.18457	1.41892
50 <pt<400 	6<chiso range<12 	7.46172	4.29095	2.11565	1.49872
50 <pt<400 	6<chiso range<13 	7.46172	4.52361	2.18556	1.34433
50 <pt<400 	7<chiso range<12 	7.46172	4.16453	1.86026	1.77244
50 <pt<400 	7<chiso range<13 	7.46172	4.46614	1.96099	1.52759
50 <pt<400 	8<chiso range<13 	7.46172	4.0207	1.90025	1.81082
#######################################################################################
