pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	21.1711	6.95267e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<9 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<10 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<11 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<12 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	3<chiso range<13 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<9 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<10 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<11 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<12 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	4<chiso range<13 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	5<chiso range<10 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	5<chiso range<11 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	5<chiso range<12 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	5<chiso range<13 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	6<chiso range<11 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	6<chiso range<12 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	6<chiso range<13 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	7<chiso range<12 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	7<chiso range<13 	21.1711	6.94472e-310	6.95267e-310	inf
20  <pt<25 	8<chiso range<13 	21.1711	6.94472e-310	6.95267e-310	inf
#######################################################################################
25  <pt<50 	3<chiso range<8 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	3<chiso range<9 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	3<chiso range<10 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	3<chiso range<11 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	3<chiso range<12 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	3<chiso range<13 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	4<chiso range<9 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	4<chiso range<10 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	4<chiso range<11 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	4<chiso range<12 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	4<chiso range<13 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	5<chiso range<10 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	5<chiso range<11 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	5<chiso range<12 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	5<chiso range<13 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	6<chiso range<11 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	6<chiso range<12 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	6<chiso range<13 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	7<chiso range<12 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	7<chiso range<13 	38.4725	6.94472e-310	6.95267e-310	inf
25  <pt<50 	8<chiso range<13 	38.4725	6.94472e-310	6.95267e-310	inf
#######################################################################################
50  <pt<400 	3<chiso range<8 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	3<chiso range<9 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	3<chiso range<10 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	3<chiso range<11 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	3<chiso range<12 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	3<chiso range<13 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	4<chiso range<9 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	4<chiso range<10 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	4<chiso range<11 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	4<chiso range<12 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	4<chiso range<13 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	5<chiso range<10 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	5<chiso range<11 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	5<chiso range<12 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	5<chiso range<13 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	6<chiso range<11 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	6<chiso range<12 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	6<chiso range<13 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	7<chiso range<12 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	7<chiso range<13 	19.1432	6.94472e-310	6.95267e-310	inf
50  <pt<400 	8<chiso range<13 	19.1432	6.94472e-310	6.95267e-310	inf
#######################################################################################
