pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	21.6909	31.9308	21.1711	25.1813	6.95267e-310	1.51108	inf
20 <pt<25 	3<chiso range<9 	21.6909	31.9308	21.1711	25.7188	6.94472e-310	1.41484	inf
20 <pt<25 	3<chiso range<10 	21.6909	31.9308	21.1711	25.7356	6.94472e-310	1.45264	inf
20 <pt<25 	3<chiso range<11 	21.6909	31.9308	21.1711	26.9624	6.94472e-310	1.13946	inf
20 <pt<25 	3<chiso range<12 	21.6909	31.9308	21.1711	27.4732	6.94472e-310	1.02194	inf
20 <pt<25 	3<chiso range<13 	21.6909	31.9308	21.1711	26.9955	6.94472e-310	1.1677	inf
20 <pt<25 	4<chiso range<9 	21.6909	31.9308	21.1711	27.5379	6.94472e-310	0.864782	inf
20 <pt<25 	4<chiso range<10 	21.6909	31.9308	21.1711	27.6249	6.94472e-310	0.881491	inf
20 <pt<25 	4<chiso range<11 	21.6909	31.9308	21.1711	28.9678	6.94472e-310	0.597878	inf
20 <pt<25 	4<chiso range<12 	21.6909	31.9308	21.1711	29.4675	6.94472e-310	0.50087	inf
20 <pt<25 	4<chiso range<13 	21.6909	31.9308	21.1711	28.7525	6.94472e-310	0.674456	inf
20 <pt<25 	5<chiso range<10 	21.6909	31.9308	21.1711	25.1307	6.94472e-310	1.45371	inf
20 <pt<25 	5<chiso range<11 	21.6909	31.9308	21.1711	27.4453	6.94472e-310	0.905938	inf
20 <pt<25 	5<chiso range<12 	21.6909	31.9308	21.1711	28.3408	6.94472e-310	0.723843	inf
20 <pt<25 	5<chiso range<13 	21.6909	31.9308	21.1711	27.6249	6.94472e-310	0.91071	inf
20 <pt<25 	6<chiso range<11 	21.6909	31.9308	21.1711	30.1485	6.94472e-310	0.304251	inf
20 <pt<25 	6<chiso range<12 	21.6909	31.9308	21.1711	30.8074	6.94472e-310	0.196157	inf
20 <pt<25 	6<chiso range<13 	21.6909	31.9308	21.1711	29.7583	6.94472e-310	0.403621	inf
20 <pt<25 	7<chiso range<12 	21.6909	31.9308	21.1711	31.9665	6.94472e-310	0.00561922	inf
20 <pt<25 	7<chiso range<13 	21.6909	31.9308	21.1711	30.5836	6.94472e-310	0.229474	inf
20 <pt<25 	8<chiso range<13 	21.6909	31.9308	21.1711	27.2745	6.94472e-310	0.84549	inf
#######################################################################################
25 <pt<50 	3<chiso range<8 	39.0886	33.813	38.4725	24.6497	6.94472e-310	2.13796	inf
25 <pt<50 	3<chiso range<9 	39.0886	33.813	38.4725	25.3386	6.94472e-310	1.99085	inf
25 <pt<50 	3<chiso range<10 	39.0886	33.813	38.4725	26.018	6.94472e-310	1.82354	inf
25 <pt<50 	3<chiso range<11 	39.0886	33.813	38.4725	25.0594	6.94472e-310	2.16649	inf
25 <pt<50 	3<chiso range<12 	39.0886	33.813	38.4725	23.633	6.94472e-310	2.71714	inf
25 <pt<50 	3<chiso range<13 	39.0886	33.813	38.4725	23.695	6.94472e-310	2.72407	inf
25 <pt<50 	4<chiso range<9 	39.0886	33.813	38.4725	26.1685	6.94472e-310	1.65595	inf
25 <pt<50 	4<chiso range<10 	39.0886	33.813	38.4725	26.9383	6.94472e-310	1.48987	inf
25 <pt<50 	4<chiso range<11 	39.0886	33.813	38.4725	25.6543	6.94472e-310	1.90578	inf
25 <pt<50 	4<chiso range<12 	39.0886	33.813	38.4725	23.9251	6.94472e-310	2.53241	inf
25 <pt<50 	4<chiso range<13 	39.0886	33.813	38.4725	23.9622	6.94472e-310	2.55569	inf
25 <pt<50 	5<chiso range<10 	39.0886	33.813	38.4725	27.0076	6.94472e-310	1.39562	inf
25 <pt<50 	5<chiso range<11 	39.0886	33.813	38.4725	25.4342	6.94472e-310	1.89315	inf
25 <pt<50 	5<chiso range<12 	39.0886	33.813	38.4725	23.4608	6.94472e-310	2.61047	inf
25 <pt<50 	5<chiso range<13 	39.0886	33.813	38.4725	23.5707	6.94472e-310	2.61884	inf
25 <pt<50 	6<chiso range<11 	39.0886	33.813	38.4725	23.7758	6.94472e-310	2.34483	inf
25 <pt<50 	6<chiso range<12 	39.0886	33.813	38.4725	21.8164	6.94472e-310	3.16276	inf
25 <pt<50 	6<chiso range<13 	39.0886	33.813	38.4725	22.0703	6.94472e-310	3.12964	inf
25 <pt<50 	7<chiso range<12 	39.0886	33.813	38.4725	21.0904	6.94472e-310	3.30317	inf
25 <pt<50 	7<chiso range<13 	39.0886	33.813	38.4725	21.4663	6.94472e-310	3.24809	inf
25 <pt<50 	8<chiso range<13 	39.0886	33.813	38.4725	21.4572	6.94472e-310	3.0601	inf
#######################################################################################
50 <pt<400 	3<chiso range<8 	19.3999	7.46172	19.1432	4.7903	6.94472e-310	1.23556	inf
50 <pt<400 	3<chiso range<9 	19.3999	7.46172	19.1432	4.93048	6.94472e-310	1.17567	inf
50 <pt<400 	3<chiso range<10 	19.3999	7.46172	19.1432	4.81297	6.94472e-310	1.29286	inf
50 <pt<400 	3<chiso range<11 	19.3999	7.46172	19.1432	4.65181	6.94472e-310	1.43743	inf
50 <pt<400 	3<chiso range<12 	19.3999	7.46172	19.1432	4.54121	6.94472e-310	1.54371	inf
50 <pt<400 	3<chiso range<13 	19.3999	7.46172	19.1432	4.69001	6.94472e-310	1.42847	inf
50 <pt<400 	4<chiso range<9 	19.3999	7.46172	19.1432	4.90332	6.94472e-310	1.16655	inf
50 <pt<400 	4<chiso range<10 	19.3999	7.46172	19.1432	4.76644	6.94472e-310	1.30239	inf
50 <pt<400 	4<chiso range<11 	19.3999	7.46172	19.1432	4.59029	6.94472e-310	1.4643	inf
50 <pt<400 	4<chiso range<12 	19.3999	7.46172	19.1432	4.46825	6.94472e-310	1.58645	inf
50 <pt<400 	4<chiso range<13 	19.3999	7.46172	19.1432	4.64242	6.94472e-310	1.44988	inf
50 <pt<400 	5<chiso range<10 	19.3999	7.46172	19.1432	4.6386	6.94472e-310	1.36589	inf
50 <pt<400 	5<chiso range<11 	19.3999	7.46172	19.1432	4.4427	6.94472e-310	1.55869	inf
50 <pt<400 	5<chiso range<12 	19.3999	7.46172	19.1432	4.26921	6.94472e-310	1.73914	inf
50 <pt<400 	5<chiso range<13 	19.3999	7.46172	19.1432	4.48385	6.94472e-310	1.56195	inf
50 <pt<400 	6<chiso range<11 	19.3999	7.46172	19.1432	4.36199	6.94472e-310	1.41892	inf
50 <pt<400 	6<chiso range<12 	19.3999	7.46172	19.1432	4.29095	6.94472e-310	1.49872	inf
50 <pt<400 	6<chiso range<13 	19.3999	7.46172	19.1432	4.52361	6.94472e-310	1.34433	inf
50 <pt<400 	7<chiso range<12 	19.3999	7.46172	19.1432	4.16453	6.94472e-310	1.77244	inf
50 <pt<400 	7<chiso range<13 	19.3999	7.46172	19.1432	4.46614	6.94472e-310	1.52759	inf
50 <pt<400 	8<chiso range<13 	19.3999	7.46172	19.1432	4.0207	6.94472e-310	1.81082	inf
#######################################################################################
