pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	2.40921e-316	6.95324e-310	-nan	0.470557	0.0263923	nan
20 <pt<25 	3<chiso range<9 	1.061e-312	6.95324e-310	-nan	0.476459	0.0282361	nan
20 <pt<25 	3<chiso range<10 	1.1671e-312	6.95324e-310	-nan	0.450036	0.0295567	nan
20 <pt<25 	3<chiso range<11 	1.01856e-312	6.95324e-310	-nan	0.452339	0.0308167	nan
20 <pt<25 	3<chiso range<12 	1.14588e-312	6.95324e-310	-nan	0.451012	0.0320217	nan
20 <pt<25 	3<chiso range<13 	1.08222e-312	6.95324e-310	-nan	0.442144	0.0329042	nan
20 <pt<25 	4<chiso range<9 	1.01856e-312	6.95324e-310	-nan	0.472641	0.0251926	nan
20 <pt<25 	4<chiso range<10 	1.08222e-312	6.95324e-310	-nan	0.44171	0.0266659	nan
20 <pt<25 	4<chiso range<11 	1.18832e-312	6.95324e-310	-nan	0.445031	0.0280486	nan
20 <pt<25 	4<chiso range<12 	1.08222e-312	6.95324e-310	-nan	0.444397	0.0293721	nan
20 <pt<25 	4<chiso range<13 	1.14588e-312	6.95324e-310	-nan	0.435746	0.0303641	nan
20 <pt<25 	5<chiso range<10 	1.061e-312	6.95324e-310	-nan	0.404979	0.0237638	nan
20 <pt<25 	5<chiso range<11 	1.10344e-312	6.95324e-310	-nan	0.413758	0.0253125	nan
20 <pt<25 	5<chiso range<12 	1.10344e-312	6.95324e-310	-nan	0.416396	0.0267757	nan
20 <pt<25 	5<chiso range<13 	1.01856e-312	6.95324e-310	-nan	0.404629	0.0278372	nan
20 <pt<25 	6<chiso range<11 	1.18832e-312	6.95324e-310	-nan	0.429166	0.0225591	nan
20 <pt<25 	6<chiso range<12 	1.08222e-312	6.95324e-310	-nan	0.430376	0.024184	nan
20 <pt<25 	6<chiso range<13 	1.061e-312	6.95324e-310	-nan	0.417511	0.0253653	nan
20 <pt<25 	7<chiso range<12 	1.03978e-312	6.95324e-310	-nan	0.423172	0.0215319	nan
20 <pt<25 	7<chiso range<13 	1.18832e-312	6.95324e-310	-nan	0.405232	0.0228322	nan
20 <pt<25 	8<chiso range<13 	1.18832e-312	6.95324e-310	-nan	0.391658	0.0197288	nan
#######################################################################################
25 <pt<30 	3<chiso range<8 	1.10344e-312	6.95324e-310	-nan	0.374065	0.0351898	nan
25 <pt<30 	3<chiso range<9 	1.14588e-312	6.95324e-310	-nan	0.382127	0.0374232	nan
25 <pt<30 	3<chiso range<10 	1.1671e-312	6.95324e-310	-nan	0.388452	0.0392817	nan
25 <pt<30 	3<chiso range<11 	1.03978e-312	6.95324e-310	-nan	0.400275	0.0411881	nan
25 <pt<30 	3<chiso range<12 	1.12466e-312	6.95324e-310	-nan	0.398193	0.0425866	nan
25 <pt<30 	3<chiso range<13 	1.12466e-312	6.95324e-310	-nan	0.378496	0.0440277	nan
25 <pt<30 	4<chiso range<9 	1.01856e-312	6.95324e-310	-nan	0.364913	0.0335968	nan
25 <pt<30 	4<chiso range<10 	1.20954e-312	6.95324e-310	-nan	0.375054	0.0356721	nan
25 <pt<30 	4<chiso range<11 	1.01856e-312	6.95324e-310	-nan	0.391056	0.0377723	nan
25 <pt<30 	4<chiso range<12 	1.1671e-312	6.95324e-310	-nan	0.38719	0.039289	nan
25 <pt<30 	4<chiso range<13 	1.20954e-312	6.95324e-310	-nan	0.36596	0.040851	nan
25 <pt<30 	5<chiso range<10 	1.1671e-312	6.95324e-310	-nan	0.344913	0.031956	nan
25 <pt<30 	5<chiso range<11 	1.03978e-312	6.95324e-310	-nan	0.370362	0.0342852	nan
25 <pt<30 	5<chiso range<12 	1.14588e-312	6.95324e-310	-nan	0.368632	0.035959	nan
25 <pt<30 	5<chiso range<13 	1.18832e-312	6.95324e-310	-nan	0.345689	0.0376312	nan
25 <pt<30 	6<chiso range<11 	1.061e-312	6.95324e-310	-nan	0.4025	0.0307414	nan
25 <pt<30 	6<chiso range<12 	1.10344e-312	6.95324e-310	-nan	0.395411	0.0325764	nan
25 <pt<30 	6<chiso range<13 	1.03978e-312	6.95324e-310	-nan	0.364119	0.0344263	nan
25 <pt<30 	7<chiso range<12 	1.08222e-312	6.95324e-310	-nan	0.424898	0.0282555	nan
25 <pt<30 	7<chiso range<13 	1.03978e-312	6.95324e-310	-nan	0.384754	0.0303629	nan
25 <pt<30 	8<chiso range<13 	1.12466e-312	6.95324e-310	-nan	0.368434	0.0262939	nan
#######################################################################################
30 <pt<50 	3<chiso range<8 	1.03978e-312	6.95324e-310	-nan	0.297355	0.0309187	nan
30 <pt<50 	3<chiso range<9 	1.01856e-312	6.95324e-310	-nan	0.297484	0.0331331	nan
30 <pt<50 	3<chiso range<10 	1.18832e-312	6.95324e-310	-nan	0.293295	0.0351853	nan
30 <pt<50 	3<chiso range<11 	1.18832e-312	6.95324e-310	-nan	0.288836	0.0365643	nan
30 <pt<50 	3<chiso range<12 	1.10344e-312	6.95324e-310	-nan	0.291063	0.0379622	nan
30 <pt<50 	3<chiso range<13 	1.08222e-312	6.95324e-310	-nan	0.300547	0.0392534	nan
30 <pt<50 	4<chiso range<9 	1.12466e-312	6.95324e-310	-nan	0.287192	0.0295378	nan
30 <pt<50 	4<chiso range<10 	1.1671e-312	6.95324e-310	-nan	0.28322	0.0318233	nan
30 <pt<50 	4<chiso range<11 	1.12466e-312	6.95324e-310	-nan	0.278933	0.0333464	nan
30 <pt<50 	4<chiso range<12 	1.01856e-312	6.95324e-310	-nan	0.282297	0.0348719	nan
30 <pt<50 	4<chiso range<13 	1.1671e-312	6.95324e-310	-nan	0.293816	0.0362699	nan
30 <pt<50 	5<chiso range<10 	1.08222e-312	6.95324e-310	-nan	0.278462	0.0285043	nan
30 <pt<50 	5<chiso range<11 	1.1671e-312	6.95324e-310	-nan	0.273431	0.0301961	nan
30 <pt<50 	5<chiso range<12 	1.03978e-312	6.95324e-310	-nan	0.27781	0.0318689	nan
30 <pt<50 	5<chiso range<13 	1.061e-312	6.95324e-310	-nan	0.292204	0.0333976	nan
30 <pt<50 	6<chiso range<11 	1.08222e-312	6.95324e-310	-nan	0.264891	0.0267676	nan
30 <pt<50 	6<chiso range<12 	1.12466e-312	6.95324e-310	-nan	0.271396	0.0286404	nan
30 <pt<50 	6<chiso range<13 	1.01856e-312	6.95324e-310	-nan	0.288519	0.0303373	nan
30 <pt<50 	7<chiso range<12 	1.10344e-312	6.95324e-310	-nan	0.28603	0.0255722	nan
30 <pt<50 	7<chiso range<13 	1.08222e-312	6.95324e-310	-nan	0.306976	0.0274638	nan
30 <pt<50 	8<chiso range<13 	1.20954e-312	6.95324e-310	-nan	0.301653	0.0241569	nan
#######################################################################################
50 <pt<400 	3<chiso range<8 	1.20954e-312	6.95324e-310	-nan	0.162368	0.0402513	nan
50 <pt<400 	3<chiso range<9 	1.18832e-312	6.95324e-310	-nan	0.165045	0.0438179	nan
50 <pt<400 	3<chiso range<10 	1.03978e-312	6.95324e-310	-nan	0.160204	0.0469827	nan
50 <pt<400 	3<chiso range<11 	1.01856e-312	6.95324e-310	-nan	0.153439	0.049246	nan
50 <pt<400 	3<chiso range<12 	1.18832e-312	6.95324e-310	-nan	0.160855	0.0517126	nan
50 <pt<400 	3<chiso range<13 	1.01856e-312	6.95324e-310	-nan	0.160751	0.0532098	nan
50 <pt<400 	4<chiso range<9 	1.14588e-312	6.95324e-310	-nan	0.168873	0.0392875	nan
50 <pt<400 	4<chiso range<10 	1.14588e-312	6.95324e-310	-nan	0.162147	0.0427889	nan
50 <pt<400 	4<chiso range<11 	1.08222e-312	6.95324e-310	-nan	0.157895	0.045257	nan
50 <pt<400 	4<chiso range<12 	1.12466e-312	6.95324e-310	-nan	0.166415	0.0479285	nan
50 <pt<400 	4<chiso range<13 	1.18832e-312	6.95324e-310	-nan	0.161412	0.0495444	nan
50 <pt<400 	5<chiso range<10 	1.03978e-312	6.95324e-310	-nan	0.176813	0.0388817	nan
50 <pt<400 	5<chiso range<11 	1.10344e-312	6.95324e-310	-nan	0.166998	0.0415795	nan
50 <pt<400 	5<chiso range<12 	1.14588e-312	6.95324e-310	-nan	0.174713	0.0444779	nan
50 <pt<400 	5<chiso range<13 	1.10344e-312	6.95324e-310	-nan	0.167564	0.0462147	nan
50 <pt<400 	6<chiso range<11 	1.10344e-312	6.95324e-310	-nan	0.161351	0.0377984	nan
50 <pt<400 	6<chiso range<12 	1.03978e-312	6.95324e-310	-nan	0.170343	0.0408791	nan
50 <pt<400 	6<chiso range<13 	1.12466e-312	6.95324e-310	-nan	0.165835	0.0428536	nan
50 <pt<400 	7<chiso range<12 	1.08222e-312	6.95324e-310	-nan	0.170826	0.0369263	nan
50 <pt<400 	7<chiso range<13 	1.01856e-312	6.95324e-310	-nan	0.160596	0.0389961	nan
50 <pt<400 	8<chiso range<13 	1.20954e-312	6.95324e-310	-nan	0.144034	0.0347334	nan
#######################################################################################
