pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	6.95324e-310	39.1504	5.23876	7.47322
20 <pt<25 	3<chiso range<9 	6.95324e-310	39.5584	5.11104	7.73979
20 <pt<25 	3<chiso range<10 	6.95324e-310	37.3082	4.65709	8.01105
20 <pt<25 	3<chiso range<11 	6.95324e-310	37.5454	4.58675	8.18562
20 <pt<25 	3<chiso range<12 	6.95324e-310	37.4675	4.49448	8.33634
20 <pt<25 	3<chiso range<13 	6.95324e-310	36.7487	4.36134	8.42601
20 <pt<25 	4<chiso range<9 	6.95324e-310	38.9343	5.29117	7.35835
20 <pt<25 	4<chiso range<10 	6.95324e-310	36.3331	4.72233	7.69389
20 <pt<25 	4<chiso range<11 	6.95324e-310	36.7066	4.64207	7.90738
20 <pt<25 	4<chiso range<12 	6.95324e-310	36.7397	4.54439	8.08463
20 <pt<25 	4<chiso range<13 	6.95324e-310	36.1104	4.41759	8.17423
20 <pt<25 	5<chiso range<10 	6.95324e-310	32.987	4.55972	7.23444
20 <pt<25 	5<chiso range<11 	6.95324e-310	33.8999	4.51849	7.50248
20 <pt<25 	5<chiso range<12 	6.95324e-310	34.262	4.43808	7.72001
20 <pt<25 	5<chiso range<13 	6.95324e-310	33.3775	4.25363	7.84683
20 <pt<25 	6<chiso range<11 	6.95324e-310	34.6454	4.96184	6.98237
20 <pt<25 	6<chiso range<12 	6.95324e-310	35.0322	4.8186	7.2702
20 <pt<25 	6<chiso range<13 	6.95324e-310	34.1883	4.60317	7.42712
20 <pt<25 	7<chiso range<12 	6.95324e-310	34.2346	5.0772	6.74281
20 <pt<25 	7<chiso range<13 	6.95324e-310	32.9941	4.73858	6.96287
20 <pt<25 	8<chiso range<13 	6.95324e-310	31.5643	4.87826	6.4704
#######################################################################################
25 <pt<30 	3<chiso range<8 	6.95324e-310	18.6144	3.69949	5.03161
25 <pt<30 	3<chiso range<9 	6.95324e-310	19.0364	3.69727	5.14877
25 <pt<30 	3<chiso range<10 	6.95324e-310	19.3369	3.66081	5.28214
25 <pt<30 	3<chiso range<11 	6.95324e-310	19.9106	3.67657	5.41554
25 <pt<30 	3<chiso range<12 	6.95324e-310	19.7975	3.59919	5.50054
25 <pt<30 	3<chiso range<13 	6.95324e-310	18.8321	3.38157	5.56904
25 <pt<30 	4<chiso range<9 	6.95324e-310	18.0921	3.70973	4.87693
25 <pt<30 	4<chiso range<10 	6.95324e-310	18.6144	3.69185	5.04203
25 <pt<30 	4<chiso range<11 	6.95324e-310	19.4097	3.72711	5.20771
25 <pt<30 	4<chiso range<12 	6.95324e-310	19.183	3.61403	5.30792
25 <pt<30 	4<chiso range<13 	6.95324e-310	18.1719	3.36906	5.39376
25 <pt<30 	5<chiso range<10 	6.95324e-310	17.0224	3.56253	4.77818
25 <pt<30 	5<chiso range<11 	6.95324e-310	18.3349	3.67165	4.99364
25 <pt<30 	5<chiso range<12 	6.95324e-310	18.2239	3.56227	5.11581
25 <pt<30 	5<chiso range<13 	6.95324e-310	17.1372	3.2841	5.21823
25 <pt<30 	6<chiso range<11 	6.95324e-310	19.7849	4.18602	4.72642
25 <pt<30 	6<chiso range<12 	6.95324e-310	19.4085	3.96406	4.89612
25 <pt<30 	6<chiso range<13 	6.95324e-310	17.9619	3.57145	5.0293
25 <pt<30 	7<chiso range<12 	6.95324e-310	20.6634	4.48019	4.61217
25 <pt<30 	7<chiso range<13 	6.95324e-310	18.9063	3.94578	4.79152
25 <pt<30 	8<chiso range<13 	6.95324e-310	17.8809	4.00902	4.46017
#######################################################################################
30 <pt<50 	3<chiso range<8 	6.95324e-310	21.8408	3.9826	5.48406
30 <pt<50 	3<chiso range<9 	6.95324e-310	21.8463	3.88111	5.62888
30 <pt<50 	3<chiso range<10 	6.95324e-310	21.5162	3.74985	5.73788
30 <pt<50 	3<chiso range<11 	6.95324e-310	21.1865	3.64564	5.81146
30 <pt<50 	3<chiso range<12 	6.95324e-310	21.3499	3.63568	5.87233
30 <pt<50 	3<chiso range<13 	6.95324e-310	22.0314	3.71239	5.93456
30 <pt<50 	4<chiso range<9 	6.95324e-310	21.109	3.92086	5.38377
30 <pt<50 	4<chiso range<10 	6.95324e-310	20.7819	3.75695	5.53159
30 <pt<50 	4<chiso range<11 	6.95324e-310	20.472	3.63817	5.627
30 <pt<50 	4<chiso range<12 	6.95324e-310	20.7225	3.63121	5.70678
30 <pt<50 	4<chiso range<13 	6.95324e-310	21.5496	3.72486	5.78534
30 <pt<50 	5<chiso range<10 	6.95324e-310	20.4342	3.85425	5.30173
30 <pt<50 	5<chiso range<11 	6.95324e-310	20.0739	3.70081	5.42419
30 <pt<50 	5<chiso range<12 	6.95324e-310	20.4046	3.69096	5.52826
30 <pt<50 	5<chiso range<13 	6.95324e-310	21.45	3.81176	5.62732
30 <pt<50 	6<chiso range<11 	6.95324e-310	19.4756	3.75211	5.19057
30 <pt<50 	6<chiso range<12 	6.95324e-310	19.9705	3.75103	5.324
30 <pt<50 	6<chiso range<13 	6.95324e-310	21.2045	3.89397	5.44547
