pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	3<chiso range<9 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	3<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	3<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	3<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	3<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	4<chiso range<9 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	4<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	4<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	4<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	4<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	5<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	5<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	5<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	5<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	6<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	6<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	6<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	7<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	7<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
20  <pt<25 	8<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
#######################################################################################
25  <pt<30 	3<chiso range<8 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	3<chiso range<9 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	3<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	3<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	3<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	3<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	4<chiso range<9 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	4<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	4<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	4<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	4<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	5<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	5<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	5<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	5<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	6<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	6<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	6<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	7<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	7<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
25  <pt<30 	8<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
#######################################################################################
30  <pt<50 	3<chiso range<8 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	3<chiso range<9 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	3<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	3<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	3<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	3<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	4<chiso range<9 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	4<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	4<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	4<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	4<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	5<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	5<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	5<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	5<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	6<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	6<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	6<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	7<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	7<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
30  <pt<50 	8<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
#######################################################################################
50  <pt<400 	3<chiso range<8 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	3<chiso range<9 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	3<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	3<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	3<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	3<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	4<chiso range<9 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	4<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	4<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	4<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	4<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	5<chiso range<10 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	5<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	5<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	5<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	6<chiso range<11 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	6<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	6<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	7<chiso range<12 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	7<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
50  <pt<400 	8<chiso range<13 	6.95324e-310	6.95324e-310	6.95324e-310	nan
#######################################################################################
