pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	2.40921e-316	6.95324e-310	6.95324e-310	39.1504	6.95324e-310	7.47322	nan
20 <pt<25 	3<chiso range<9 	1.061e-312	6.95324e-310	6.95324e-310	39.5584	6.95324e-310	7.73979	nan
20 <pt<25 	3<chiso range<10 	1.1671e-312	6.95324e-310	6.95324e-310	37.3082	6.95324e-310	8.01105	nan
20 <pt<25 	3<chiso range<11 	1.01856e-312	6.95324e-310	6.95324e-310	37.5454	6.95324e-310	8.18562	nan
20 <pt<25 	3<chiso range<12 	1.14588e-312	6.95324e-310	6.95324e-310	37.4675	6.95324e-310	8.33634	nan
20 <pt<25 	3<chiso range<13 	1.08222e-312	6.95324e-310	6.95324e-310	36.7487	6.95324e-310	8.42601	nan
20 <pt<25 	4<chiso range<9 	1.01856e-312	6.95324e-310	6.95324e-310	38.9343	6.95324e-310	7.35835	nan
20 <pt<25 	4<chiso range<10 	1.08222e-312	6.95324e-310	6.95324e-310	36.3331	6.95324e-310	7.69389	nan
20 <pt<25 	4<chiso range<11 	1.18832e-312	6.95324e-310	6.95324e-310	36.7066	6.95324e-310	7.90738	nan
20 <pt<25 	4<chiso range<12 	1.08222e-312	6.95324e-310	6.95324e-310	36.7397	6.95324e-310	8.08463	nan
20 <pt<25 	4<chiso range<13 	1.14588e-312	6.95324e-310	6.95324e-310	36.1104	6.95324e-310	8.17423	nan
20 <pt<25 	5<chiso range<10 	1.061e-312	6.95324e-310	6.95324e-310	32.987	6.95324e-310	7.23444	nan
20 <pt<25 	5<chiso range<11 	1.10344e-312	6.95324e-310	6.95324e-310	33.8999	6.95324e-310	7.50248	nan
20 <pt<25 	5<chiso range<12 	1.10344e-312	6.95324e-310	6.95324e-310	34.262	6.95324e-310	7.72001	nan
20 <pt<25 	5<chiso range<13 	1.01856e-312	6.95324e-310	6.95324e-310	33.3775	6.95324e-310	7.84683	nan
20 <pt<25 	6<chiso range<11 	1.18832e-312	6.95324e-310	6.95324e-310	34.6454	6.95324e-310	6.98237	nan
20 <pt<25 	6<chiso range<12 	1.08222e-312	6.95324e-310	6.95324e-310	35.0322	6.95324e-310	7.2702	nan
20 <pt<25 	6<chiso range<13 	1.061e-312	6.95324e-310	6.95324e-310	34.1883	6.95324e-310	7.42712	nan
20 <pt<25 	7<chiso range<12 	1.03978e-312	6.95324e-310	6.95324e-310	34.2346	6.95324e-310	6.74281	nan
20 <pt<25 	7<chiso range<13 	1.18832e-312	6.95324e-310	6.95324e-310	32.9941	6.95324e-310	6.96287	nan
20 <pt<25 	8<chiso range<13 	1.18832e-312	6.95324e-310	6.95324e-310	31.5643	6.95324e-310	6.4704	nan
#######################################################################################
25 <pt<30 	3<chiso range<8 	1.10344e-312	6.95324e-310	6.95324e-310	18.6144	6.95324e-310	5.03161	nan
25 <pt<30 	3<chiso range<9 	1.14588e-312	6.95324e-310	6.95324e-310	19.0364	6.95324e-310	5.14877	nan
25 <pt<30 	3<chiso range<10 	1.1671e-312	6.95324e-310	6.95324e-310	19.3369	6.95324e-310	5.28214	nan
25 <pt<30 	3<chiso range<11 	1.03978e-312	6.95324e-310	6.95324e-310	19.9106	6.95324e-310	5.41554	nan
25 <pt<30 	3<chiso range<12 	1.12466e-312	6.95324e-310	6.95324e-310	19.7975	6.95324e-310	5.50054	nan
25 <pt<30 	3<chiso range<13 	1.12466e-312	6.95324e-310	6.95324e-310	18.8321	6.95324e-310	5.56904	nan
25 <pt<30 	4<chiso range<9 	1.01856e-312	6.95324e-310	6.95324e-310	18.0921	6.95324e-310	4.87693	nan
25 <pt<30 	4<chiso range<10 	1.20954e-312	6.95324e-310	6.95324e-310	18.6144	6.95324e-310	5.04203	nan
25 <pt<30 	4<chiso range<11 	1.01856e-312	6.95324e-310	6.95324e-310	19.4097	6.95324e-310	5.20771	nan
25 <pt<30 	4<chiso range<12 	1.1671e-312	6.95324e-310	6.95324e-310	19.183	6.95324e-310	5.30792	nan
25 <pt<30 	4<chiso range<13 	1.20954e-312	6.95324e-310	6.95324e-310	18.1719	6.95324e-310	5.39376	nan
25 <pt<30 	5<chiso range<10 	1.1671e-312	6.95324e-310	6.95324e-310	17.0224	6.95324e-310	4.77818	nan
25 <pt<30 	5<chiso range<11 	1.03978e-312	6.95324e-310	6.95324e-310	18.3349	6.95324e-310	4.99364	nan
25 <pt<30 	5<chiso range<12 	1.14588e-312	6.95324e-310	6.95324e-310	18.2239	6.95324e-310	5.11581	nan
25 <pt<30 	5<chiso range<13 	1.18832e-312	6.95324e-310	6.95324e-310	17.1372	6.95324e-310	5.21823	nan
25 <pt<30 	6<chiso range<11 	1.061e-312	6.95324e-310	6.95324e-310	19.7849	6.95324e-310	4.72642	nan
25 <pt<30 	6<chiso range<12 	1.10344e-312	6.95324e-310	6.95324e-310	19.4085	6.95324e-310	4.89612	nan
25 <pt<30 	6<chiso range<13 	1.03978e-312	6.95324e-310	6.95324e-310	17.9619	6.95324e-310	5.0293	nan
25 <pt<30 	7<chiso range<12 	1.08222e-312	6.95324e-310	6.95324e-310	20.6634	6.95324e-310	4.61217	nan
25 <pt<30 	7<chiso range<13 	1.03978e-312	6.95324e-310	6.95324e-310	18.9063	6.95324e-310	4.79152	nan
25 <pt<30 	8<chiso range<13 	1.12466e-312	6.95324e-310	6.95324e-310	17.8809	6.95324e-310	4.46017	nan
#######################################################################################
30 <pt<50 	3<chiso range<8 	1.03978e-312	6.95324e-310	6.95324e-310	21.8408	6.95324e-310	5.48406	nan
30 <pt<50 	3<chiso range<9 	1.01856e-312	6.95324e-310	6.95324e-310	21.8463	6.95324e-310	5.62888	nan
30 <pt<50 	3<chiso range<10 	1.18832e-312	6.95324e-310	6.95324e-310	21.5162	6.95324e-310	5.73788	nan
30 <pt<50 	3<chiso range<11 	1.18832e-312	6.95324e-310	6.95324e-310	21.1865	6.95324e-310	5.81146	nan
30 <pt<50 	3<chiso range<12 	1.10344e-312	6.95324e-310	6.95324e-310	21.3499	6.95324e-310	5.87233	nan
30 <pt<50 	3<chiso range<13 	1.08222e-312	6.95324e-310	6.95324e-310	22.0314	6.95324e-310	5.93456	nan
