pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	136.731	82.3479	0.602262	0.485186	0.0359502	3.25662
20 <pt<25 	3<chiso range<9 	136.731	82.3479	0.602262	0.489481	0.0362623	3.11015
20 <pt<25 	3<chiso range<10 	136.731	82.3479	0.602262	0.473735	0.0350852	3.66329
20 <pt<25 	3<chiso range<11 	136.731	82.3479	0.602262	0.481879	0.0356864	3.37336
20 <pt<25 	3<chiso range<12 	136.731	82.3479	0.602262	0.483953	0.0358424	3.30081
20 <pt<25 	3<chiso range<13 	136.731	82.3479	0.602262	0.475229	0.0352102	3.60785
20 <pt<25 	4<chiso range<9 	136.731	82.3479	0.602262	0.501739	0.0371483	2.70599
20 <pt<25 	4<chiso range<10 	136.731	82.3479	0.602262	0.480661	0.0355716	3.41849
20 <pt<25 	4<chiso range<11 	136.731	82.3479	0.602262	0.489715	0.0362424	3.1054
20 <pt<25 	4<chiso range<12 	136.731	82.3479	0.602262	0.491502	0.0363808	3.04447
20 <pt<25 	4<chiso range<13 	136.731	82.3479	0.602262	0.480916	0.0356185	3.40683
20 <pt<25 	5<chiso range<10 	136.731	82.3479	0.602262	0.441046	0.0326248	4.94152
20 <pt<25 	5<chiso range<11 	136.731	82.3479	0.602262	0.456971	0.0338076	4.29759
20 <pt<25 	5<chiso range<12 	136.731	82.3479	0.602262	0.462548	0.0342301	4.08162
20 <pt<25 	5<chiso range<13 	136.731	82.3479	0.602262	0.452292	0.0334981	4.47697
20 <pt<25 	6<chiso range<11 	136.731	82.3479	0.602262	0.490269	0.0362857	3.08643
20 <pt<25 	6<chiso range<12 	136.731	82.3479	0.602262	0.492865	0.0364864	2.9983
20 <pt<25 	6<chiso range<13 	136.731	82.3479	0.602262	0.477299	0.0353617	3.53385
20 <pt<25 	7<chiso range<12 	136.731	82.3479	0.602262	0.498264	0.0368699	2.82068
20 <pt<25 	7<chiso range<13 	136.731	82.3479	0.602262	0.478386	0.035439	3.49547
20 <pt<25 	8<chiso range<13 	136.731	82.3479	0.602262	0.458827	0.0339885	4.22011
#######################################################################################
25 <pt<30 	3<chiso range<8 	77.1717	42.3503	0.54878	0.425754	0.0480899	2.55825
25 <pt<30 	3<chiso range<9 	77.1717	42.3503	0.54878	0.438063	0.0495489	2.2345
25 <pt<30 	3<chiso range<10 	77.1717	42.3503	0.54878	0.449299	0.0508296	1.95715
25 <pt<30 	3<chiso range<11 	77.1717	42.3503	0.54878	0.451846	0.0511032	1.89683
25 <pt<30 	3<chiso range<12 	77.1717	42.3503	0.54878	0.443196	0.0501431	2.10566
25 <pt<30 	3<chiso range<13 	77.1717	42.3503	0.54878	0.430839	0.0487629	2.41867
25 <pt<30 	4<chiso range<9 	77.1717	42.3503	0.54878	0.434299	0.0491397	2.32971
25 <pt<30 	4<chiso range<10 	77.1717	42.3503	0.54878	0.448556	0.0507587	1.97452
25 <pt<30 	4<chiso range<11 	77.1717	42.3503	0.54878	0.451771	0.0511067	1.89817
25 <pt<30 	4<chiso range<12 	77.1717	42.3503	0.54878	0.441454	0.0499575	2.14835
25 <pt<30 	4<chiso range<13 	77.1717	42.3503	0.54878	0.427088	0.0483488	2.51696
25 <pt<30 	5<chiso range<10 	77.1717	42.3503	0.54878	0.421459	0.0477228	2.66793
25 <pt<30 	5<chiso range<11 	77.1717	42.3503	0.54878	0.429594	0.0486381	2.45047
