pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	82.3479	66.2944	4.67609	3.4331
20 <pt<25 	3<chiso range<9 	82.3479	66.8812	4.7166	3.27921
20 <pt<25 	3<chiso range<10 	82.3479	64.7296	4.56336	3.86082
20 <pt<25 	3<chiso range<11 	82.3479	65.8424	4.64153	3.55605
20 <pt<25 	3<chiso range<12 	82.3479	66.1259	4.66185	3.47973
20 <pt<25 	3<chiso range<13 	82.3479	64.9339	4.57981	3.80234
20 <pt<25 	4<chiso range<9 	82.3479	68.5561	4.83156	2.85452
20 <pt<25 	4<chiso range<10 	82.3479	65.6761	4.62626	3.60373
20 <pt<25 	4<chiso range<11 	82.3479	66.9132	4.71352	3.27456
20 <pt<25 	4<chiso range<12 	82.3479	67.1574	4.7316	3.21044
20 <pt<25 	4<chiso range<13 	82.3479	65.7109	4.63275	3.59117
20 <pt<25 	5<chiso range<10 	82.3479	60.2632	4.24282	5.20519
20 <pt<25 	5<chiso range<11 	82.3479	62.4391	4.39671	4.52811
20 <pt<25 	5<chiso range<12 	82.3479	63.2012	4.45179	4.3009
20 <pt<25 	5<chiso range<13 	82.3479	61.7997	4.35695	4.71619
20 <pt<25 	6<chiso range<11 	82.3479	66.9889	4.71919	3.25458
20 <pt<25 	6<chiso range<12 	82.3479	67.3435	4.7454	3.16188
20 <pt<25 	6<chiso range<13 	82.3479	65.2166	4.59949	3.72461
20 <pt<25 	7<chiso range<12 	82.3479	68.0813	4.79506	2.97527
20 <pt<25 	7<chiso range<13 	82.3479	65.3652	4.60951	3.68427
20 <pt<25 	8<chiso range<13 	82.3479	62.6928	4.42081	4.44604
#######################################################################################
25 <pt<30 	3<chiso range<8 	42.3503	33.3397	3.63288	2.48029
25 <pt<30 	3<chiso range<9 	42.3503	34.3036	3.74348	2.14952
25 <pt<30 	3<chiso range<10 	42.3503	35.1835	3.8403	1.86621
25 <pt<30 	3<chiso range<11 	42.3503	35.383	3.86089	1.80458
25 <pt<30 	3<chiso range<12 	42.3503	34.7056	3.78845	2.0179
25 <pt<30 	3<chiso range<13 	42.3503	33.7379	3.68427	2.33761
25 <pt<30 	4<chiso range<9 	42.3503	34.0089	3.71266	2.24674
25 <pt<30 	4<chiso range<10 	42.3503	35.1253	3.83502	1.88395
25 <pt<30 	4<chiso range<11 	42.3503	35.377	3.86122	1.80598
25 <pt<30 	4<chiso range<12 	42.3503	34.5692	3.77449	2.0615
25 <pt<30 	4<chiso range<13 	42.3503	33.4442	3.65305	2.43799
25 <pt<30 	5<chiso range<10 	42.3503	33.0034	3.60581	2.59218
25 <pt<30 	5<chiso range<11 	42.3503	33.6404	3.67494	2.37008
25 <pt<30 	5<chiso range<12 	42.3503	32.86	3.59027	2.64334
25 <pt<30 	5<chiso range<13 	42.3503	31.7087	3.46529	3.07091
25 <pt<30 	6<chiso range<11 	42.3503	35.9686	3.92743	1.6249
25 <pt<30 	6<chiso range<12 	42.3503	34.7005	3.79008	2.01837
25 <pt<30 	6<chiso range<13 	42.3503	33.1046	3.61675	2.55636
25 <pt<30 	7<chiso range<12 	42.3503	37.2393	4.06531	1.25722
25 <pt<30 	7<chiso range<13 	42.3503	34.8772	3.80883	1.96205
25 <pt<30 	8<chiso range<13 	42.3503	34.1318	3.72631	2.20553
#######################################################################################
30 <pt<35 	3<chiso range<8 	20.7046	12.2937	2.07322	4.05693
30 <pt<35 	3<chiso range<9 	20.7046	12.579	2.12116	3.83073
30 <pt<35 	3<chiso range<10 	20.7046	12.5861	2.12211	3.82567
30 <pt<35 	3<chiso range<11 	20.7046	12.4562	2.10022	3.9274
30 <pt<35 	3<chiso range<12 	20.7046	12.3441	2.08139	4.01679
30 <pt<35 	3<chiso range<13 	20.7046	12.7997	2.15741	3.66407
30 <pt<35 	4<chiso range<9 	20.7046	13.2923	2.24004	3.309
30 <pt<35 	4<chiso range<10 	20.7046	13.2152	2.22648	3.36378
30 <pt<35 	4<chiso range<11 	20.7046	12.9934	2.18923	3.52233
30 <pt<35 	4<chiso range<12 	20.7046	12.8151	2.15932	3.6537
30 <pt<35 	4<chiso range<13 	20.7046	13.3159	2.24261	3.29469
30 <pt<35 	5<chiso range<10 	20.7046	12.73	2.14327	3.72076
30 <pt<35 	5<chiso range<11 	20.7046	12.5249	2.1091	3.87829
30 <pt<35 	5<chiso range<12 	20.7046	12.36	2.08156	4.00882
30 <pt<35 	5<chiso range<13 	20.7046	12.9747	2.18353	3.54009
30 <pt<35 	6<chiso range<11 	20.7046	12.4669	2.09704	3.92825
30 <pt<35 	6<chiso range<12 	20.7046	12.279	2.06599	4.07824
30 <pt<35 	6<chiso range<13 	20.7046	13.0005	2.18544	3.52519
30 <pt<35 	7<chiso range<12 	20.7046	13.3004	2.23781	3.30868
30 <pt<35 	7<chiso range<13 	20.7046	14.1246	2.37392	2.77179
30 <pt<35 	8<chiso range<13 	20.7046	13.6832	2.30328	3.04844
#######################################################################################
35 <pt<65 	3<chiso range<8 	37.5103	25.4075	3.52712	3.43135
35 <pt<65 	3<chiso range<9 	37.5103	25.3065	3.51344	3.47346
35 <pt<65 	3<chiso range<10 	37.5103	24.9295	3.46124	3.63477
35 <pt<65 	3<chiso range<11 	37.5103	24.1131	3.34841	4.00106
35 <pt<65 	3<chiso range<12 	37.5103	23.6526	3.28408	4.21966
35 <pt<65 	3<chiso range<13 	37.5103	23.6926	3.29	4.19991
35 <pt<65 	4<chiso range<9 	37.5103	24.4677	3.39744	3.83895
35 <pt<65 	4<chiso range<10 	37.5103	24.1231	3.3497	3.99654
35 <pt<65 	4<chiso range<11 	37.5103	23.2451	3.22793	4.4193
35 <pt<65 	4<chiso range<12 	37.5103	22.7917	3.16454	4.6511
35 <pt<65 	4<chiso range<13 	37.5103	22.9122	3.18166	4.5882
35 <pt<65 	5<chiso range<10 	37.5103	24.9274	3.4609	3.63573
35 <pt<65 	5<chiso range<11 	37.5103	23.7371	3.29629	4.17839
35 <pt<65 	5<chiso range<12 	37.5103	23.1358	3.21195	4.47532
35 <pt<65 	5<chiso range<13 	37.5103	23.2437	3.22753	4.42028
35 <pt<65 	6<chiso range<11 	37.5103	22.1802	3.08079	4.97603
35 <pt<65 	6<chiso range<12 	37.5103	21.7322	3.01801	5.22798
35 <pt<65 	6<chiso range<13 	37.5103	22.0096	3.05697	5.07061
35 <pt<65 	7<chiso range<12 	37.5103	21.0338	2.92067	5.64134
35 <pt<65 	7<chiso range<13 	37.5103	21.4522	2.97945	5.38962
35 <pt<65 	8<chiso range<13 	37.5103	21.4782	2.98335	5.37386
#######################################################################################
65 <pt<400 	3<chiso range<8 	7.26006	5.45864	8.8235	0.204162
65 <pt<400 	3<chiso range<9 	7.26006	5.50909	8.90504	0.196627
65 <pt<400 	3<chiso range<10 	7.26006	5.89362	2.28428	0.598193
65 <pt<400 	3<chiso range<11 	7.26006	5.51016	2.13588	0.819288
65 <pt<400 	3<chiso range<12 	7.26006	5.61639	2.17811	0.754631
65 <pt<400 	3<chiso range<13 	7.26006	5.64578	2.18977	0.737192
65 <pt<400 	4<chiso range<9 	7.26006	5.50638	8.90066	0.197028
65 <pt<400 	4<chiso range<10 	7.26006	5.84173	2.26424	0.626404
65 <pt<400 	4<chiso range<11 	7.26006	5.42326	2.10232	0.873701
65 <pt<400 	4<chiso range<12 	7.26006	5.54882	2.15205	0.795167
65 <pt<400 	4<chiso range<13 	7.26006	5.58546	2.16649	0.772955
65 <pt<400 	5<chiso range<10 	7.26006	6.08329	2.3547	0.499754
65 <pt<400 	5<chiso range<11 	7.26006	5.52476	2.13964	0.811024
65 <pt<400 	5<chiso range<12 	7.26006	5.66543	2.19637	0.72603
65 <pt<400 	5<chiso range<13 	7.26006	5.69979	2.21021	0.705937
65 <pt<400 	6<chiso range<11 	7.26006	5.37604	2.0787	0.906345
65 <pt<400 	6<chiso range<12 	7.26006	5.57788	2.16154	0.778232
65 <pt<400 	6<chiso range<13 	7.26006	5.62973	2.18273	0.746922
65 <pt<400 	7<chiso range<12 	7.26006	5.58353	2.1638	0.774808
65 <pt<400 	7<chiso range<13 	7.26006	5.64388	2.18842	0.738515
65 <pt<400 	8<chiso range<13 	7.26006	5.09853	1.97873	1.09238
#######################################################################################
