pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	0	70.0763	12.5726	5.57373
20  <pt<25 	3<chiso range<9 	0	69.4862	12.5839	5.52183
20  <pt<25 	3<chiso range<10 	0	71.6768	12.5139	5.72777
20  <pt<25 	3<chiso range<11 	0	70.5627	12.5428	5.62575
20  <pt<25 	3<chiso range<12 	0	70.2734	12.5529	5.59818
20  <pt<25 	3<chiso range<13 	0	71.4477	12.5326	5.70095
20  <pt<25 	4<chiso range<9 	0	67.8384	12.6124	5.37871
20  <pt<25 	4<chiso range<10 	0	70.8273	12.5142	5.65975
20  <pt<25 	4<chiso range<11 	0	69.5742	12.5496	5.54394
20  <pt<25 	4<chiso range<12 	0	69.3052	12.5624	5.51688
20  <pt<25 	4<chiso range<13 	0	70.692	12.5422	5.63633
20  <pt<25 	5<chiso range<10 	0	76.4039	12.3536	6.18475
20  <pt<25 	5<chiso range<11 	0	74.1815	12.4147	5.9753
20  <pt<25 	5<chiso range<12 	0	73.3622	12.445	5.89491
20  <pt<25 	5<chiso range<13 	0	74.649	12.4357	6.0028
20  <pt<25 	6<chiso range<11 	0	69.4887	12.554	5.53518
20  <pt<25 	6<chiso range<12 	0	69.1013	12.5722	5.49636
20  <pt<25 	6<chiso range<13 	0	71.1698	12.5387	5.67601
20  <pt<25 	7<chiso range<12 	0	68.4427	12.5772	5.44181
20  <pt<25 	7<chiso range<13 	0	71.038	12.5396	5.66509
20  <pt<25 	8<chiso range<13 	0	73.7332	12.4653	5.91508
#######################################################################################
25  <pt<30 	3<chiso range<8 	0	45.4013	9.49201	4.78311
25  <pt<30 	3<chiso range<9 	0	44.1842	9.57084	4.61654
25  <pt<30 	3<chiso range<10 	0	43.2505	9.61678	4.4974
25  <pt<30 	3<chiso range<11 	0	43.1004	9.61837	4.48105
25  <pt<30 	3<chiso range<12 	0	43.7203	9.5968	4.55572
25  <pt<30 	3<chiso range<13 	0	44.6501	9.56183	4.66962
25  <pt<30 	4<chiso range<9 	0	44.4354	9.56587	4.6452
25  <pt<30 	4<chiso range<10 	0	43.2684	9.62084	4.49736
25  <pt<30 	4<chiso range<11 	0	43.0715	9.62411	4.47537
25  <pt<30 	4<chiso range<12 	0	43.8244	9.59635	4.56678
25  <pt<30 	4<chiso range<13 	0	44.917	9.554	4.70138
25  <pt<30 	5<chiso range<10 	0	45.3199	9.54062	4.7502
25  <pt<30 	5<chiso range<11 	0	44.6994	9.56574	4.67286
25  <pt<30 	5<chiso range<12 	0	45.4666	9.53482	4.76848
25  <pt<30 	5<chiso range<13 	0	46.6163	9.48922	4.91255
25  <pt<30 	6<chiso range<11 	0	42.3731	9.66452	4.3844
25  <pt<30 	6<chiso range<12 	0	43.6222	9.61126	4.53866
25  <pt<30 	6<chiso range<13 	0	45.2175	9.54453	4.73753
25  <pt<30 	7<chiso range<12 	0	41.0896	9.72218	4.22638
25  <pt<30 	7<chiso range<13 	0	43.4653	9.61593	4.52013
25  <pt<30 	8<chiso range<13 	0	44.2754	9.57407	4.62451
#######################################################################################
30  <pt<35 	3<chiso range<8 	0	33.0748	7.02374	4.709
30  <pt<35 	3<chiso range<9 	0	32.812	7.037	4.66278
30  <pt<35 	3<chiso range<10 	0	32.7765	7.03785	4.65718
30  <pt<35 	3<chiso range<11 	0	32.9007	7.03119	4.67925
30  <pt<35 	3<chiso range<12 	0	33.0081	7.02585	4.69809
