pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	136.731	82.3479	0	66.2944	70.0763	3.4331	5.57373
20 <pt<25 	3<chiso range<9 	136.731	82.3479	0	66.8812	69.4862	3.27921	5.52183
20 <pt<25 	3<chiso range<10 	136.731	82.3479	0	64.7296	71.6768	3.86082	5.72777
20 <pt<25 	3<chiso range<11 	136.731	82.3479	0	65.8424	70.5627	3.55605	5.62575
20 <pt<25 	3<chiso range<12 	136.731	82.3479	0	66.1259	70.2734	3.47973	5.59818
20 <pt<25 	3<chiso range<13 	136.731	82.3479	0	64.9339	71.4477	3.80234	5.70095
20 <pt<25 	4<chiso range<9 	136.731	82.3479	0	68.5561	67.8384	2.85452	5.37871
20 <pt<25 	4<chiso range<10 	136.731	82.3479	0	65.6761	70.8273	3.60373	5.65975
20 <pt<25 	4<chiso range<11 	136.731	82.3479	0	66.9132	69.5742	3.27456	5.54394
20 <pt<25 	4<chiso range<12 	136.731	82.3479	0	67.1574	69.3052	3.21044	5.51688
20 <pt<25 	4<chiso range<13 	136.731	82.3479	0	65.7109	70.692	3.59117	5.63633
20 <pt<25 	5<chiso range<10 	136.731	82.3479	0	60.2632	76.4039	5.20519	6.18475
20 <pt<25 	5<chiso range<11 	136.731	82.3479	0	62.4391	74.1815	4.52811	5.9753
20 <pt<25 	5<chiso range<12 	136.731	82.3479	0	63.2012	73.3622	4.3009	5.89491
20 <pt<25 	5<chiso range<13 	136.731	82.3479	0	61.7997	74.649	4.71619	6.0028
20 <pt<25 	6<chiso range<11 	136.731	82.3479	0	66.9889	69.4887	3.25458	5.53518
20 <pt<25 	6<chiso range<12 	136.731	82.3479	0	67.3435	69.1013	3.16188	5.49636
20 <pt<25 	6<chiso range<13 	136.731	82.3479	0	65.2166	71.1698	3.72461	5.67601
20 <pt<25 	7<chiso range<12 	136.731	82.3479	0	68.0813	68.4427	2.97527	5.44181
20 <pt<25 	7<chiso range<13 	136.731	82.3479	0	65.3652	71.038	3.68427	5.66509
20 <pt<25 	8<chiso range<13 	136.731	82.3479	0	62.6928	73.7332	4.44604	5.91508
#######################################################################################
25 <pt<30 	3<chiso range<8 	77.1717	42.3503	0	33.3397	45.4013	2.48029	4.78311
25 <pt<30 	3<chiso range<9 	77.1717	42.3503	0	34.3036	44.1842	2.14952	4.61654
25 <pt<30 	3<chiso range<10 	77.1717	42.3503	0	35.1835	43.2505	1.86621	4.4974
25 <pt<30 	3<chiso range<11 	77.1717	42.3503	0	35.383	43.1004	1.80458	4.48105
25 <pt<30 	3<chiso range<12 	77.1717	42.3503	0	34.7056	43.7203	2.0179	4.55572
25 <pt<30 	3<chiso range<13 	77.1717	42.3503	0	33.7379	44.6501	2.33761	4.66962
25 <pt<30 	4<chiso range<9 	77.1717	42.3503	0	34.0089	44.4354	2.24674	4.6452
25 <pt<30 	4<chiso range<10 	77.1717	42.3503	0	35.1253	43.2684	1.88395	4.49736
25 <pt<30 	4<chiso range<11 	77.1717	42.3503	0	35.377	43.0715	1.80598	4.47537
25 <pt<30 	4<chiso range<12 	77.1717	42.3503	0	34.5692	43.8244	2.0615	4.56678
25 <pt<30 	4<chiso range<13 	77.1717	42.3503	0	33.4442	44.917	2.43799	4.70138
25 <pt<30 	5<chiso range<10 	77.1717	42.3503	0	33.0034	45.3199	2.59218	4.7502
25 <pt<30 	5<chiso range<11 	77.1717	42.3503	0	33.6404	44.6994	2.37008	4.67286
25 <pt<30 	5<chiso range<12 	77.1717	42.3503	0	32.86	45.4666	2.64334	4.76848
25 <pt<30 	5<chiso range<13 	77.1717	42.3503	0	31.7087	46.6163	3.07091	4.91255
25 <pt<30 	6<chiso range<11 	77.1717	42.3503	0	35.9686	42.3731	1.6249	4.3844
25 <pt<30 	6<chiso range<12 	77.1717	42.3503	0	34.7005	43.6222	2.01837	4.53866
25 <pt<30 	6<chiso range<13 	77.1717	42.3503	0	33.1046	45.2175	2.55636	4.73753
25 <pt<30 	7<chiso range<12 	77.1717	42.3503	0	37.2393	41.0896	1.25722	4.22638
25 <pt<30 	7<chiso range<13 	77.1717	42.3503	0	34.8772	43.4653	1.96205	4.52013
25 <pt<30 	8<chiso range<13 	77.1717	42.3503	0	34.1318	44.2754	2.20553	4.62451
#######################################################################################
30 <pt<35 	3<chiso range<8 	43.2914	20.7046	0	12.2937	33.0748	4.05693	4.709
30 <pt<35 	3<chiso range<9 	43.2914	20.7046	0	12.579	32.812	3.83073	4.66278
