pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	215.583	91.3557	0.423761	0.47611	0.0401235	1.30469
20 <pt<25 	3<chiso range<9 	215.583	91.3557	0.423761	0.4567	0.0384964	0.855635
20 <pt<25 	3<chiso range<10 	215.583	91.3557	0.423761	0.445217	0.037487	0.572354
20 <pt<25 	3<chiso range<11 	215.583	91.3557	0.423761	0.446962	0.0376352	0.616467
20 <pt<25 	3<chiso range<12 	215.583	91.3557	0.423761	0.441399	0.0371703	0.474515
20 <pt<25 	3<chiso range<13 	215.583	91.3557	0.423761	0.437099	0.0368129	0.362315
20 <pt<25 	4<chiso range<9 	215.583	91.3557	0.423761	0.461621	0.038949	0.972037
20 <pt<25 	4<chiso range<10 	215.583	91.3557	0.423761	0.447625	0.037741	0.632306
20 <pt<25 	4<chiso range<11 	215.583	91.3557	0.423761	0.449313	0.0378766	0.674608
20 <pt<25 	4<chiso range<12 	215.583	91.3557	0.423761	0.442636	0.0373133	0.505848
20 <pt<25 	4<chiso range<13 	215.583	91.3557	0.423761	0.437654	0.0368955	0.376546
20 <pt<25 	5<chiso range<10 	215.583	91.3557	0.423761	0.436631	0.0368331	0.34941
20 <pt<25 	5<chiso range<11 	215.583	91.3557	0.423761	0.440124	0.0371183	0.44083
20 <pt<25 	5<chiso range<12 	215.583	91.3557	0.423761	0.433465	0.0365541	0.265465
20 <pt<25 	5<chiso range<13 	215.583	91.3557	0.423761	0.428756	0.0361583	0.138138
20 <pt<25 	6<chiso range<11 	215.583	91.3557	0.423761	0.428354	0.0360973	0.127235
20 <pt<25 	6<chiso range<12 	215.583	91.3557	0.423761	0.422074	0.035566	0.0474372
20 <pt<25 	6<chiso range<13 	215.583	91.3557	0.423761	0.417932	0.0352207	0.165504
20 <pt<25 	7<chiso range<12 	215.583	91.3557	0.423761	0.39718	0.0334265	0.795212
20 <pt<25 	7<chiso range<13 	215.583	91.3557	0.423761	0.395736	0.0333168	0.841172
20 <pt<25 	8<chiso range<13 	215.583	91.3557	0.423761	0.390143	0.0328128	1.02454
#######################################################################################
25 <pt<30 	3<chiso range<8 	107.556	38.922	0.361877	0.437865	0.059763	1.2715
25 <pt<30 	3<chiso range<9 	107.556	38.922	0.361877	0.403789	0.0551787	0.759576
25 <pt<30 	3<chiso range<10 	107.556	38.922	0.361877	0.399302	0.0545974	0.685479
25 <pt<30 	3<chiso range<11 	107.556	38.922	0.361877	0.394762	0.0539965	0.609028
25 <pt<30 	3<chiso range<12 	107.556	38.922	0.361877	0.394336	0.0539424	0.601742
25 <pt<30 	3<chiso range<13 	107.556	38.922	0.361877	0.395523	0.0540992	0.621939
25 <pt<30 	4<chiso range<9 	107.556	38.922	0.361877	0.382848	0.0523443	0.400643
25 <pt<30 	4<chiso range<10 	107.556	38.922	0.361877	0.380576	0.0520625	0.359172
25 <pt<30 	4<chiso range<11 	107.556	38.922	0.361877	0.377703	0.0516798	0.30624
25 <pt<30 	4<chiso range<12 	107.556	38.922	0.361877	0.378766	0.0518275	0.325877
25 <pt<30 	4<chiso range<13 	107.556	38.922	0.361877	0.381318	0.0521665	0.37268
25 <pt<30 	5<chiso range<10 	107.556	38.922	0.361877	0.386073	0.052807	0.458204
25 <pt<30 	5<chiso range<11 	107.556	38.922	0.361877	0.381776	0.052229	0.381003
25 <pt<30 	5<chiso range<12 	107.556	38.922	0.361877	0.382581	0.0523411	0.395567
25 <pt<30 	5<chiso range<13 	107.556	38.922	0.361877	0.385113	0.0526737	0.441138
25 <pt<30 	6<chiso range<11 	107.556	38.922	0.361877	0.360029	0.0492619	0.0375057
25 <pt<30 	6<chiso range<12 	107.556	38.922	0.361877	0.363724	0.0497666	0.0371212
25 <pt<30 	6<chiso range<13 	107.556	38.922	0.361877	0.36866	0.0504184	0.134542
25 <pt<30 	7<chiso range<12 	107.556	38.922	0.361877	0.352236	0.0482026	0.200002
25 <pt<30 	7<chiso range<13 	107.556	38.922	0.361877	0.359748	0.0492029	0.0432618
25 <pt<30 	8<chiso range<13 	107.556	38.922	0.361877	0.341254	0.0466492	0.442078
#######################################################################################
30 <pt<40 	3<chiso range<8 	100.364	34.4853	0.343602	0.283972	0.0465641	1.28061
30 <pt<40 	3<chiso range<9 	100.364	34.4853	0.343602	0.278816	0.0457231	1.41693
30 <pt<40 	3<chiso range<10 	100.364	34.4853	0.343602	0.287945	0.0472305	1.17842
30 <pt<40 	3<chiso range<11 	100.364	34.4853	0.343602	0.288871	0.0473662	1.15549
30 <pt<40 	3<chiso range<12 	100.364	34.4853	0.343602	0.28589	0.0468716	1.23128
30 <pt<40 	3<chiso range<13 	100.364	34.4853	0.343602	0.27746	0.0454874	1.45408
30 <pt<40 	4<chiso range<9 	100.364	34.4853	0.343602	0.275509	0.0451595	1.50784
30 <pt<40 	4<chiso range<10 	100.364	34.4853	0.343602	0.287065	0.0470777	1.20094
30 <pt<40 	4<chiso range<11 	100.364	34.4853	0.343602	0.28823	0.0472466	1.17198
30 <pt<40 	4<chiso range<12 	100.364	34.4853	0.343602	0.284823	0.0466809	1.25917
30 <pt<40 	4<chiso range<13 	100.364	34.4853	0.343602	0.275281	0.0451143	1.5144
30 <pt<40 	5<chiso range<10 	100.364	34.4853	0.343602	0.278996	0.0457055	1.41353
30 <pt<40 	5<chiso range<11 	100.364	34.4853	0.343602	0.281545	0.0460899	1.34644
30 <pt<40 	5<chiso range<12 	100.364	34.4853	0.343602	0.27833	0.0455574	1.43275
30 <pt<40 	5<chiso range<13 	100.364	34.4853	0.343602	0.268225	0.0439028	1.71691
30 <pt<40 	6<chiso range<11 	100.364	34.4853	0.343602	0.293176	0.0480077	1.05038
30 <pt<40 	6<chiso range<12 	100.364	34.4853	0.343602	0.287711	0.0471049	1.18653
30 <pt<40 	6<chiso range<13 	100.364	34.4853	0.343602	0.274447	0.0449321	1.53911
30 <pt<40 	7<chiso range<12 	100.364	34.4853	0.343602	0.285166	0.0467013	1.25128
30 <pt<40 	7<chiso range<13 	100.364	34.4853	0.343602	0.270409	0.0442822	1.65288
30 <pt<40 	8<chiso range<13 	100.364	34.4853	0.343602	0.26977	0.0442034	1.67029
#######################################################################################
40 <pt<50 	3<chiso range<8 	37.0397	11.4951	0.310345	0.318052	0.0825629	0.0933423
40 <pt<50 	3<chiso range<9 	37.0397	11.4951	0.310345	0.298314	0.0775169	0.15521
40 <pt<50 	3<chiso range<10 	37.0397	11.4951	0.310345	0.30612	0.0795395	0.0531231
40 <pt<50 	3<chiso range<11 	37.0397	11.4951	0.310345	0.288317	0.0749757	0.293807
40 <pt<50 	3<chiso range<12 	37.0397	11.4951	0.310345	0.273926	0.0712608	0.511072
40 <pt<50 	3<chiso range<13 	37.0397	11.4951	0.310345	0.257353	0.0669833	0.791128
40 <pt<50 	4<chiso range<9 	37.0397	11.4951	0.310345	0.299051	0.0777078	0.145344
40 <pt<50 	4<chiso range<10 	37.0397	11.4951	0.310345	0.307447	0.07987	0.0362888
40 <pt<50 	4<chiso range<11 	37.0397	11.4951	0.310345	0.287652	0.0748025	0.303377
40 <pt<50 	4<chiso range<12 	37.0397	11.4951	0.310345	0.271929	0.0707436	0.543037
40 <pt<50 	4<chiso range<13 	37.0397	11.4951	0.310345	0.254138	0.06615	0.849696
40 <pt<50 	5<chiso range<10 	37.0397	11.4951	0.310345	0.303864	0.0789592	0.0820853
40 <pt<50 	5<chiso range<11 	37.0397	11.4951	0.310345	0.28142	0.0731913	0.395203
40 <pt<50 	5<chiso range<12 	37.0397	11.4951	0.310345	0.264655	0.0688611	0.663515
40 <pt<50 	5<chiso range<13 	37.0397	11.4951	0.310345	0.245792	0.0639876	1.00884
40 <pt<50 	6<chiso range<11 	37.0397	11.4951	0.310345	0.269168	0.0700214	0.588069
40 <pt<50 	6<chiso range<12 	37.0397	11.4951	0.310345	0.250942	0.0653298	0.909285
40 <pt<50 	6<chiso range<13 	37.0397	11.4951	0.310345	0.231689	0.0603319	1.30373
40 <pt<50 	7<chiso range<12 	37.0397	11.4951	0.310345	0.235366	0.0612949	1.22326
40 <pt<50 	7<chiso range<13 	37.0397	11.4951	0.310345	0.216138	0.0562936	1.6735
40 <pt<50 	8<chiso range<13 	37.0397	11.4951	0.310345	0.204313	0.0532189	1.99238
#######################################################################################
50 <pt<60 	3<chiso range<8 	19.0913	6.11727	0.320422	0.158516	0.0634812	2.55045
50 <pt<60 	3<chiso range<9 	19.0913	6.11727	0.320422	0.151343	0.0606226	2.78904
