pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	91.3557	103.51	8.57894	1.41676
20 <pt<25 	3<chiso range<9 	91.3557	99.2897	8.23112	0.963903
20 <pt<25 	3<chiso range<10 	91.3557	96.7932	8.01499	0.678416
20 <pt<25 	3<chiso range<11 	91.3557	97.1726	8.04667	0.722895
20 <pt<25 	3<chiso range<12 	91.3557	95.9631	7.94731	0.579743
20 <pt<25 	3<chiso range<13 	91.3557	95.0284	7.87093	0.466616
20 <pt<25 	4<chiso range<9 	91.3557	100.36	8.32816	1.08119
20 <pt<25 	4<chiso range<10 	91.3557	97.3167	8.06968	0.738691
20 <pt<25 	4<chiso range<11 	91.3557	97.6837	8.09861	0.781369
20 <pt<25 	4<chiso range<12 	91.3557	96.2322	7.97816	0.611231
20 <pt<25 	4<chiso range<13 	91.3557	95.1489	7.88884	0.480831
20 <pt<25 	5<chiso range<10 	91.3557	94.9267	7.87568	0.453421
20 <pt<25 	5<chiso range<11 	91.3557	95.6861	7.9366	0.545624
20 <pt<25 	5<chiso range<12 	91.3557	94.2382	7.81594	0.368798
20 <pt<25 	5<chiso range<13 	91.3557	93.2145	7.73132	0.240425
20 <pt<25 	6<chiso range<11 	91.3557	93.1271	7.71808	0.229513
20 <pt<25 	6<chiso range<12 	91.3557	91.7619	7.60446	0.053416
20 <pt<25 	6<chiso range<13 	91.3557	90.8613	7.53067	0.0656515
20 <pt<25 	7<chiso range<12 	91.3557	86.3497	7.1467	0.700463
20 <pt<25 	7<chiso range<13 	91.3557	86.0358	7.12335	0.746826
20 <pt<25 	8<chiso range<13 	91.3557	84.8198	7.01534	0.931658
#######################################################################################
25 <pt<30 	3<chiso range<8 	38.922	49.0509	6.61446	1.53133
25 <pt<30 	3<chiso range<9 	38.922	45.2337	6.10726	1.03347
25 <pt<30 	3<chiso range<10 	38.922	44.7309	6.04301	0.961259
25 <pt<30 	3<chiso range<11 	38.922	44.2224	5.97654	0.886868
25 <pt<30 	3<chiso range<12 	38.922	44.1746	5.97057	0.879748
25 <pt<30 	3<chiso range<13 	38.922	44.3076	5.98791	0.899412
25 <pt<30 	4<chiso range<9 	38.922	42.8877	5.79361	0.684496
25 <pt<30 	4<chiso range<10 	38.922	42.6332	5.7625	0.644026
25 <pt<30 	4<chiso range<11 	38.922	42.3114	5.72017	0.592535
25 <pt<30 	4<chiso range<12 	38.922	42.4305	5.73652	0.611608
25 <pt<30 	4<chiso range<13 	38.922	42.7164	5.77402	0.65715
25 <pt<30 	5<chiso range<10 	38.922	43.249	5.84489	0.740305
25 <pt<30 	5<chiso range<11 	38.922	42.7677	5.78093	0.665239
25 <pt<30 	5<chiso range<12 	38.922	42.8578	5.79335	0.679365
25 <pt<30 	5<chiso range<13 	38.922	43.1415	5.83013	0.72374
25 <pt<30 	6<chiso range<11 	38.922	40.3315	5.45255	0.258503
25 <pt<30 	6<chiso range<12 	38.922	40.7454	5.5084	0.331022
25 <pt<30 	6<chiso range<13 	38.922	41.2983	5.58048	0.425824
25 <pt<30 	7<chiso range<12 	38.922	39.4585	5.33531	0.100556
25 <pt<30 	7<chiso range<13 	38.922	40.3001	5.44596	0.25305
25 <pt<30 	8<chiso range<13 	38.922	38.2283	5.16324	0.134354
#######################################################################################
30 <pt<40 	3<chiso range<8 	34.4853	33.7334	5.49403	0.136858
30 <pt<40 	3<chiso range<9 	34.4853	33.1209	5.39481	0.25291
30 <pt<40 	3<chiso range<10 	34.4853	34.2052	5.57268	0.0502631
30 <pt<40 	3<chiso range<11 	34.4853	34.3153	5.58866	0.0304187
30 <pt<40 	3<chiso range<12 	34.4853	33.9612	5.5303	0.0947688
30 <pt<40 	3<chiso range<13 	34.4853	32.9598	5.36698	0.284238
30 <pt<40 	4<chiso range<9 	34.4853	32.728	5.32828	0.329806
30 <pt<40 	4<chiso range<10 	34.4853	34.1007	5.55464	0.0692394
30 <pt<40 	4<chiso range<11 	34.4853	34.2392	5.57453	0.0441472
30 <pt<40 	4<chiso range<12 	34.4853	33.8344	5.50777	0.118179
30 <pt<40 	4<chiso range<13 	34.4853	32.701	5.32293	0.33521
30 <pt<40 	5<chiso range<10 	34.4853	33.1423	5.39266	0.249042
30 <pt<40 	5<chiso range<11 	34.4853	33.445	5.43796	0.191303
30 <pt<40 	5<chiso range<12 	34.4853	33.0631	5.37513	0.264589
30 <pt<40 	5<chiso range<13 	34.4853	31.8628	5.1799	0.506284
30 <pt<40 	6<chiso range<11 	34.4853	34.8267	5.66426	0.0602727
30 <pt<40 	6<chiso range<12 	34.4853	34.1775	5.55772	0.0553824
30 <pt<40 	6<chiso range<13 	34.4853	32.6018	5.30136	0.355286
30 <pt<40 	7<chiso range<12 	34.4853	33.8752	5.51012	0.110724
30 <pt<40 	7<chiso range<13 	34.4853	32.1221	5.2247	0.452313
30 <pt<40 	8<chiso range<13 	34.4853	32.0463	5.21545	0.467649
#######################################################################################
40 <pt<50 	3<chiso range<8 	11.4951	18.3865	4.75289	1.44994
40 <pt<50 	3<chiso range<9 	11.4951	17.2454	4.46245	1.2886
40 <pt<50 	3<chiso range<10 	11.4951	17.6967	4.57888	1.35439
40 <pt<50 	3<chiso range<11 	11.4951	16.6675	4.31618	1.19837
40 <pt<50 	3<chiso range<12 	11.4951	15.8356	4.10234	1.05805
40 <pt<50 	3<chiso range<13 	11.4951	14.8775	3.85611	0.877153
40 <pt<50 	4<chiso range<9 	11.4951	17.288	4.47344	1.29495
40 <pt<50 	4<chiso range<10 	11.4951	17.7734	4.5979	1.36547
40 <pt<50 	4<chiso range<11 	11.4951	16.6291	4.30622	1.19223
40 <pt<50 	4<chiso range<12 	11.4951	15.7201	4.07257	1.03743
40 <pt<50 	4<chiso range<13 	11.4951	14.6917	3.80814	0.839412
40 <pt<50 	5<chiso range<10 	11.4951	17.5663	4.54548	1.33566
40 <pt<50 	5<chiso range<11 	11.4951	16.2688	4.21347	1.13296
40 <pt<50 	5<chiso range<12 	11.4951	15.2996	3.9642	0.959714
40 <pt<50 	5<chiso range<13 	11.4951	14.2091	3.68366	0.736767
40 <pt<50 	6<chiso range<11 	11.4951	15.5605	4.03099	1.00854
40 <pt<50 	6<chiso range<12 	11.4951	14.5069	3.76093	0.800813
40 <pt<50 	6<chiso range<13 	11.4951	13.3939	3.47322	0.546697
40 <pt<50 	7<chiso range<12 	11.4951	13.6064	3.52866	0.598329
40 <pt<50 	7<chiso range<13 	11.4951	12.4949	3.24074	0.30851
40 <pt<50 	8<chiso range<13 	11.4951	11.8113	3.06374	0.103207
#######################################################################################
50 <pt<60 	3<chiso range<8 	6.11727	5.25949	2.10002	0.408463
50 <pt<60 	3<chiso range<9 	6.11727	5.0215	2.00545	0.546396
50 <pt<60 	3<chiso range<10 	6.11727	5.53567	2.20844	0.263353
50 <pt<60 	3<chiso range<11 	6.11727	5.35146	2.13659	0.358426
50 <pt<60 	3<chiso range<12 	6.11727	5.05108	2.0168	0.528654
50 <pt<60 	3<chiso range<13 	6.11727	4.73313	1.89106	0.731939
50 <pt<60 	4<chiso range<9 	6.11727	4.62386	1.84765	0.808275
50 <pt<60 	4<chiso range<10 	6.11727	5.21578	2.08187	0.433019
50 <pt<60 	4<chiso range<11 	6.11727	5.07107	2.02497	0.51665
50 <pt<60 	4<chiso range<12 	6.11727	4.77436	1.907	0.7042
50 <pt<60 	4<chiso range<13 	6.11727	4.4625	1.78388	0.927624
50 <pt<60 	5<chiso range<10 	6.11727	5.57468	2.22472	0.243891
50 <pt<60 	5<chiso range<11 	6.11727	5.3295	2.1287	0.370071
50 <pt<60 	5<chiso range<12 	6.11727	4.95655	1.97993	0.586243
50 <pt<60 	5<chiso range<13 	6.11727	4.58127	1.8313	0.838748
50 <pt<60 	6<chiso range<11 	6.11727	5.09022	2.03363	0.505033
50 <pt<60 	6<chiso range<12 	6.11727	4.68147	1.87093	0.767426
50 <pt<60 	6<chiso range<13 	6.11727	4.28457	1.71392	1.0693
50 <pt<60 	7<chiso range<12 	6.11727	4.60275	1.84011	0.823059
50 <pt<60 	7<chiso range<13 	6.11727	4.14518	1.65873	1.18892
