pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	126.058	114.311	16.9795	0.691834
20  <pt<25 	3<chiso range<9 	126.058	118.323	16.8183	0.459916
20  <pt<25 	3<chiso range<10 	126.058	121.1	16.6789	0.297262
20  <pt<25 	3<chiso range<11 	126.058	120.69	16.696	0.321514
20  <pt<25 	3<chiso range<12 	126.058	121.914	16.6498	0.248892
20  <pt<25 	3<chiso range<13 	126.058	122.837	16.6166	0.193842
20  <pt<25 	4<chiso range<9 	126.058	116.99	16.8977	0.536641
20  <pt<25 	4<chiso range<10 	126.058	120.249	16.7466	0.346876
20  <pt<25 	4<chiso range<11 	126.058	119.906	16.7559	0.367154
20  <pt<25 	4<chiso range<12 	126.058	121.415	16.6951	0.278106
20  <pt<25 	4<chiso range<13 	126.058	122.5	16.6536	0.213647
20  <pt<25 	5<chiso range<10 	126.058	122.554	16.6673	0.210232
20  <pt<25 	5<chiso range<11 	126.058	121.836	16.6895	0.252973
20  <pt<25 	5<chiso range<12 	126.058	123.362	16.6276	0.16214
20  <pt<25 	5<chiso range<13 	126.058	124.386	16.5885	0.100793
20  <pt<25 	6<chiso range<11 	126.058	124.617	16.5614	0.0870096
20  <pt<25 	6<chiso range<12 	126.058	126.047	16.5051	0.000666461
20  <pt<25 	6<chiso range<13 	126.058	126.934	16.4739	0.053175
20  <pt<25 	7<chiso range<12 	126.058	131.781	16.2634	0.351894
20  <pt<25 	7<chiso range<13 	126.058	132.018	16.2631	0.366474
20  <pt<25 	8<chiso range<13 	126.058	133.461	16.1887	0.457294
#######################################################################################
25  <pt<30 	3<chiso range<8 	73.1074	63.206	12.4101	0.79785
25  <pt<30 	3<chiso range<9 	73.1074	66.9459	12.165	0.506494
25  <pt<30 	3<chiso range<10 	73.1074	67.3829	12.1441	0.471381
25  <pt<30 	3<chiso range<11 	73.1074	67.8649	12.1166	0.432671
25  <pt<30 	3<chiso range<12 	73.1074	67.8997	12.1154	0.429841
25  <pt<30 	3<chiso range<13 	73.1074	67.7957	12.1209	0.438227
25  <pt<30 	4<chiso range<9 	73.1074	69.2812	12.0158	0.318431
25  <pt<30 	4<chiso range<10 	73.1074	69.468	12.0117	0.302988
25  <pt<30 	4<chiso range<11 	73.1074	69.767	11.995	0.278483
25  <pt<30 	4<chiso range<12 	73.1074	69.6371	12.0041	0.289093
25  <pt<30 	4<chiso range<13 	73.1074	69.3884	12.0176	0.309463
25  <pt<30 	5<chiso range<10 	73.1074	68.8948	12.0474	0.349669
25  <pt<30 	5<chiso range<11 	73.1074	69.3469	12.0203	0.312846
25  <pt<30 	5<chiso range<12 	73.1074	69.2411	12.0278	0.321447
25  <pt<30 	5<chiso range<13 	73.1074	69.0075	12.0394	0.34054
25  <pt<30 	6<chiso range<11 	73.1074	71.7549	11.8677	0.113965
25  <pt<30 	6<chiso range<12 	73.1074	71.3357	11.8939	0.148959
25  <pt<30 	6<chiso range<13 	73.1074	70.8599	11.9175	0.188588
25  <pt<30 	7<chiso range<12 	73.1074	72.6161	11.8171	0.0415753
25  <pt<30 	7<chiso range<13 	73.1074	71.8602	11.8551	0.105204
25  <pt<30 	8<chiso range<13 	73.1074	74.0516	11.7145	0.080601
#######################################################################################
30  <pt<40 	3<chiso range<8 	84.3058	85.1977	12.1559	0.0733718
30  <pt<40 	3<chiso range<9 	84.3058	85.8149	12.1128	0.124587
30  <pt<40 	3<chiso range<10 	84.3058	84.681	12.197	0.0307617
30  <pt<40 	3<chiso range<11 	84.3058	84.6061	12.1986	0.0246176
30  <pt<40 	3<chiso range<12 	84.3058	84.9803	12.1699	0.0554236
30  <pt<40 	3<chiso range<13 	84.3058	86.0079	12.0958	0.140718
30  <pt<40 	4<chiso range<9 	84.3058	86.2577	12.0762	0.161632
30  <pt<40 	4<chiso range<10 	84.3058	84.8072	12.1858	0.0411463
30  <pt<40 	4<chiso range<11 	84.3058	84.7129	12.1873	0.0334036
30  <pt<40 	4<chiso range<12 	84.3058	85.1405	12.1545	0.0686742
30  <pt<40 	4<chiso range<13 	84.3058	86.3026	12.0711	0.16542
30  <pt<40 	5<chiso range<10 	84.3058	85.8846	12.0963	0.130519
30  <pt<40 	5<chiso range<11 	84.3058	85.6337	12.1061	0.109689
30  <pt<40 	5<chiso range<12 	84.3058	86.0331	12.0764	0.143031
30  <pt<40 	5<chiso range<13 	84.3058	87.2552	11.9913	0.245962
