pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	215.583	91.3557	126.058	103.51	114.311	1.41676	0.691834
20 <pt<25 	3<chiso range<9 	215.583	91.3557	126.058	99.2897	118.323	0.963903	0.459916
20 <pt<25 	3<chiso range<10 	215.583	91.3557	126.058	96.7932	121.1	0.678416	0.297262
20 <pt<25 	3<chiso range<11 	215.583	91.3557	126.058	97.1726	120.69	0.722895	0.321514
20 <pt<25 	3<chiso range<12 	215.583	91.3557	126.058	95.9631	121.914	0.579743	0.248892
20 <pt<25 	3<chiso range<13 	215.583	91.3557	126.058	95.0284	122.837	0.466616	0.193842
20 <pt<25 	4<chiso range<9 	215.583	91.3557	126.058	100.36	116.99	1.08119	0.536641
20 <pt<25 	4<chiso range<10 	215.583	91.3557	126.058	97.3167	120.249	0.738691	0.346876
20 <pt<25 	4<chiso range<11 	215.583	91.3557	126.058	97.6837	119.906	0.781369	0.367154
20 <pt<25 	4<chiso range<12 	215.583	91.3557	126.058	96.2322	121.415	0.611231	0.278106
20 <pt<25 	4<chiso range<13 	215.583	91.3557	126.058	95.1489	122.5	0.480831	0.213647
20 <pt<25 	5<chiso range<10 	215.583	91.3557	126.058	94.9267	122.554	0.453421	0.210232
20 <pt<25 	5<chiso range<11 	215.583	91.3557	126.058	95.6861	121.836	0.545624	0.252973
20 <pt<25 	5<chiso range<12 	215.583	91.3557	126.058	94.2382	123.362	0.368798	0.16214
20 <pt<25 	5<chiso range<13 	215.583	91.3557	126.058	93.2145	124.386	0.240425	0.100793
20 <pt<25 	6<chiso range<11 	215.583	91.3557	126.058	93.1271	124.617	0.229513	0.0870096
20 <pt<25 	6<chiso range<12 	215.583	91.3557	126.058	91.7619	126.047	0.053416	0.000666461
20 <pt<25 	6<chiso range<13 	215.583	91.3557	126.058	90.8613	126.934	0.0656515	0.053175
20 <pt<25 	7<chiso range<12 	215.583	91.3557	126.058	86.3497	131.781	0.700463	0.351894
20 <pt<25 	7<chiso range<13 	215.583	91.3557	126.058	86.0358	132.018	0.746826	0.366474
20 <pt<25 	8<chiso range<13 	215.583	91.3557	126.058	84.8198	133.461	0.931658	0.457294
#######################################################################################
25 <pt<30 	3<chiso range<8 	107.556	38.922	73.1074	49.0509	63.206	1.53133	0.79785
