pt range	chiso range	DataNumber	FakeNumber	fake_fraction	fit_fakerate	fit_fakerateErr	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	34.3397	50.4171	1.46819	0.470557	0.0263923	37.8
20 <pt<25 	3<chiso range<9 	34.3397	50.4171	1.46819	0.476459	0.0282361	35.1227
20 <pt<25 	3<chiso range<10 	34.3397	50.4171	1.46819	0.450036	0.0295567	34.4474
20 <pt<25 	3<chiso range<11 	34.3397	50.4171	1.46819	0.452339	0.0308167	32.9642
20 <pt<25 	3<chiso range<12 	34.3397	50.4171	1.46819	0.451012	0.0320217	31.7652
20 <pt<25 	3<chiso range<13 	34.3397	50.4171	1.46819	0.442144	0.0329042	31.1827
20 <pt<25 	4<chiso range<9 	34.3397	50.4171	1.46819	0.472641	0.0251926	39.5174
20 <pt<25 	4<chiso range<10 	34.3397	50.4171	1.46819	0.44171	0.0266659	38.494
20 <pt<25 	4<chiso range<11 	34.3397	50.4171	1.46819	0.445031	0.0280486	36.478
20 <pt<25 	4<chiso range<12 	34.3397	50.4171	1.46819	0.444397	0.0293721	34.8559
20 <pt<25 	4<chiso range<13 	34.3397	50.4171	1.46819	0.435746	0.0303641	34.002
20 <pt<25 	5<chiso range<10 	34.3397	50.4171	1.46819	0.404979	0.0237638	44.7407
20 <pt<25 	5<chiso range<11 	34.3397	50.4171	1.46819	0.413758	0.0253125	41.6565
20 <pt<25 	5<chiso range<12 	34.3397	50.4171	1.46819	0.416396	0.0267757	39.2815
20 <pt<25 	5<chiso range<13 	34.3397	50.4171	1.46819	0.404629	0.0278372	38.2064
20 <pt<25 	6<chiso range<11 	34.3397	50.4171	1.46819	0.429166	0.0225591	46.0577
20 <pt<25 	6<chiso range<12 	34.3397	50.4171	1.46819	0.430376	0.024184	42.9131
20 <pt<25 	6<chiso range<13 	34.3397	50.4171	1.46819	0.417511	0.0253653	41.4218
20 <pt<25 	7<chiso range<12 	34.3397	50.4171	1.46819	0.423172	0.0215319	48.5333
20 <pt<25 	7<chiso range<13 	34.3397	50.4171	1.46819	0.405232	0.0228322	46.5551
20 <pt<25 	8<chiso range<13 	34.3397	50.4171	1.46819	0.391658	0.0197288	54.5664
#######################################################################################
25 <pt<30 	3<chiso range<8 	22.9102	27.2252	1.18834	0.374065	0.0351898	23.1396
25 <pt<30 	3<chiso range<9 	22.9102	27.2252	1.18834	0.382127	0.0374232	21.5432
25 <pt<30 	3<chiso range<10 	22.9102	27.2252	1.18834	0.388452	0.0392817	20.363
25 <pt<30 	3<chiso range<11 	22.9102	27.2252	1.18834	0.400275	0.0411881	19.1334
25 <pt<30 	3<chiso range<12 	22.9102	27.2252	1.18834	0.398193	0.0425866	18.554
25 <pt<30 	3<chiso range<13 	22.9102	27.2252	1.18834	0.378496	0.0440277	18.3941
25 <pt<30 	4<chiso range<9 	22.9102	27.2252	1.18834	0.364913	0.0335968	24.5092
25 <pt<30 	4<chiso range<10 	22.9102	27.2252	1.18834	0.375054	0.0356721	22.7991
25 <pt<30 	4<chiso range<11 	22.9102	27.2252	1.18834	0.391056	0.0377723	21.1077
25 <pt<30 	4<chiso range<12 	22.9102	27.2252	1.18834	0.38719	0.039289	20.3913
25 <pt<30 	4<chiso range<13 	22.9102	27.2252	1.18834	0.36596	0.040851	20.1313
25 <pt<30 	5<chiso range<10 	22.9102	27.2252	1.18834	0.344913	0.031956	26.3935
25 <pt<30 	5<chiso range<11 	22.9102	27.2252	1.18834	0.370362	0.0342852	23.8582
25 <pt<30 	5<chiso range<12 	22.9102	27.2252	1.18834	0.368632	0.035959	22.7957
25 <pt<30 	5<chiso range<13 	22.9102	27.2252	1.18834	0.345689	0.0376312	22.3925
25 <pt<30 	6<chiso range<11 	22.9102	27.2252	1.18834	0.4025	0.0307414	25.5631
25 <pt<30 	6<chiso range<12 	22.9102	27.2252	1.18834	0.395411	0.0325764	24.3407
25 <pt<30 	6<chiso range<13 	22.9102	27.2252	1.18834	0.364119	0.0344263	23.9417
25 <pt<30 	7<chiso range<12 	22.9102	27.2252	1.18834	0.424898	0.0282555	27.0194
25 <pt<30 	7<chiso range<13 	22.9102	27.2252	1.18834	0.384754	0.0303629	26.4662
25 <pt<30 	8<chiso range<13 	22.9102	27.2252	1.18834	0.368434	0.0262939	31.1825
#######################################################################################
30 <pt<50 	3<chiso range<8 	42.4449	31.1241	0.733282	0.297355	0.0309187	14.0992
30 <pt<50 	3<chiso range<9 	42.4449	31.1241	0.733282	0.297484	0.0331331	13.153
30 <pt<50 	3<chiso range<10 	42.4449	31.1241	0.733282	0.293295	0.0351853	12.5049
30 <pt<50 	3<chiso range<11 	42.4449	31.1241	0.733282	0.288836	0.0365643	12.1552
30 <pt<50 	3<chiso range<12 	42.4449	31.1241	0.733282	0.291063	0.0379622	11.6489
30 <pt<50 	3<chiso range<13 	42.4449	31.1241	0.733282	0.300547	0.0392534	11.0242
30 <pt<50 	4<chiso range<9 	42.4449	31.1241	0.733282	0.287192	0.0295378	15.1024
30 <pt<50 	4<chiso range<10 	42.4449	31.1241	0.733282	0.28322	0.0318233	14.1425
30 <pt<50 	4<chiso range<11 	42.4449	31.1241	0.733282	0.278933	0.0333464	13.6251
30 <pt<50 	4<chiso range<12 	42.4449	31.1241	0.733282	0.282297	0.0348719	12.9326
30 <pt<50 	4<chiso range<13 	42.4449	31.1241	0.733282	0.293816	0.0362699	12.1166
30 <pt<50 	5<chiso range<10 	42.4449	31.1241	0.733282	0.278462	0.0285043	15.9562
30 <pt<50 	5<chiso range<11 	42.4449	31.1241	0.733282	0.273431	0.0301961	15.2288
30 <pt<50 	5<chiso range<12 	42.4449	31.1241	0.733282	0.27781	0.0318689	14.2921
30 <pt<50 	5<chiso range<13 	42.4449	31.1241	0.733282	0.292204	0.0333976	13.2069
30 <pt<50 	6<chiso range<11 	42.4449	31.1241	0.733282	0.264891	0.0267676	17.4984
30 <pt<50 	6<chiso range<12 	42.4449	31.1241	0.733282	0.271396	0.0286404	16.1271
30 <pt<50 	6<chiso range<13 	42.4449	31.1241	0.733282	0.288519	0.0303373	14.6606
30 <pt<50 	7<chiso range<12 	42.4449	31.1241	0.733282	0.28603	0.0255722	17.4898
30 <pt<50 	7<chiso range<13 	42.4449	31.1241	0.733282	0.306976	0.0274638	15.5225
30 <pt<50 	8<chiso range<13 	42.4449	31.1241	0.733282	0.301653	0.0241569	17.8677
#######################################################################################
50 <pt<400 	3<chiso range<8 	31.1566	8.20117	0.263224	0.162368	0.0402513	2.50566
50 <pt<400 	3<chiso range<9 	31.1566	8.20117	0.263224	0.165045	0.0438179	2.24062
50 <pt<400 	3<chiso range<10 	31.1566	8.20117	0.263224	0.160204	0.0469827	2.19273
50 <pt<400 	3<chiso range<11 	31.1566	8.20117	0.263224	0.153439	0.049246	2.22932
50 <pt<400 	3<chiso range<12 	31.1566	8.20117	0.263224	0.160855	0.0517126	1.97958
50 <pt<400 	3<chiso range<13 	31.1566	8.20117	0.263224	0.160751	0.0532098	1.92583
50 <pt<400 	4<chiso range<9 	31.1566	8.20117	0.263224	0.168873	0.0392875	2.40156
50 <pt<400 	4<chiso range<10 	31.1566	8.20117	0.263224	0.162147	0.0427889	2.36223
50 <pt<400 	4<chiso range<11 	31.1566	8.20117	0.263224	0.157895	0.045257	2.32736
50 <pt<400 	4<chiso range<12 	31.1566	8.20117	0.263224	0.166415	0.0479285	2.01987
50 <pt<400 	4<chiso range<13 	31.1566	8.20117	0.263224	0.161412	0.0495444	2.05497
50 <pt<400 	5<chiso range<10 	31.1566	8.20117	0.263224	0.176813	0.0388817	2.22241
50 <pt<400 	5<chiso range<11 	31.1566	8.20117	0.263224	0.166998	0.0415795	2.31427
50 <pt<400 	5<chiso range<12 	31.1566	8.20117	0.263224	0.174713	0.0444779	1.99
50 <pt<400 	5<chiso range<13 	31.1566	8.20117	0.263224	0.167564	0.0462147	2.06991
50 <pt<400 	6<chiso range<11 	31.1566	8.20117	0.263224	0.161351	0.0377984	2.69517
50 <pt<400 	6<chiso range<12 	31.1566	8.20117	0.263224	0.170343	0.0408791	2.27209
50 <pt<400 	6<chiso range<13 	31.1566	8.20117	0.263224	0.165835	0.0428536	2.2726
50 <pt<400 	7<chiso range<12 	31.1566	8.20117	0.263224	0.170826	0.0369263	2.50223
50 <pt<400 	7<chiso range<13 	31.1566	8.20117	0.263224	0.160596	0.0389961	2.63175
50 <pt<400 	8<chiso range<13 	31.1566	8.20117	0.263224	0.144034	0.0347334	3.43157
#######################################################################################
