pt range	chiso range	FakeNumber	fitFake_number	fitFake_Err	closure
#######################################################################################
20 <pt<25 	3<chiso range<8 	50.4171	39.1504	5.23876	2.15064
20 <pt<25 	3<chiso range<9 	50.4171	39.5584	5.11104	2.12456
20 <pt<25 	3<chiso range<10 	50.4171	37.3082	4.65709	2.81483
20 <pt<25 	3<chiso range<11 	50.4171	37.5454	4.58675	2.80628
20 <pt<25 	3<chiso range<12 	50.4171	37.4675	4.49448	2.88122
20 <pt<25 	3<chiso range<13 	50.4171	36.7487	4.36134	3.13399
20 <pt<25 	4<chiso range<9 	50.4171	38.9343	5.29117	2.17018
20 <pt<25 	4<chiso range<10 	50.4171	36.3331	4.72233	2.98243
20 <pt<25 	4<chiso range<11 	50.4171	36.7066	4.64207	2.95353
20 <pt<25 	4<chiso range<12 	50.4171	36.7397	4.54439	3.00973
20 <pt<25 	4<chiso range<13 	50.4171	36.1104	4.41759	3.23858
20 <pt<25 	5<chiso range<10 	50.4171	32.987	4.55972	3.82263
20 <pt<25 	5<chiso range<11 	50.4171	33.8999	4.51849	3.65547
20 <pt<25 	5<chiso range<12 	50.4171	34.262	4.43808	3.64011
20 <pt<25 	5<chiso range<13 	50.4171	33.3775	4.25363	4.0059
20 <pt<25 	6<chiso range<11 	50.4171	34.6454	4.96184	3.1786
20 <pt<25 	6<chiso range<12 	50.4171	35.0322	4.8186	3.19282
20 <pt<25 	6<chiso range<13 	50.4171	34.1883	4.60317	3.52557
20 <pt<25 	7<chiso range<12 	50.4171	34.2346	5.0772	3.18729
20 <pt<25 	7<chiso range<13 	50.4171	32.9941	4.73858	3.67684
20 <pt<25 	8<chiso range<13 	50.4171	31.5643	4.87826	3.86466
#######################################################################################
25 <pt<30 	3<chiso range<8 	27.2252	18.6144	3.69949	2.32756
25 <pt<30 	3<chiso range<9 	27.2252	19.0364	3.69727	2.21482
25 <pt<30 	3<chiso range<10 	27.2252	19.3369	3.66081	2.1548
25 <pt<30 	3<chiso range<11 	27.2252	19.9106	3.67657	1.98952
25 <pt<30 	3<chiso range<12 	27.2252	19.7975	3.59919	2.06371
25 <pt<30 	3<chiso range<13 	27.2252	18.8321	3.38157	2.48201
25 <pt<30 	4<chiso range<9 	27.2252	18.0921	3.70973	2.46193
25 <pt<30 	4<chiso range<10 	27.2252	18.6144	3.69185	2.33238
25 <pt<30 	4<chiso range<11 	27.2252	19.4097	3.72711	2.09693
25 <pt<30 	4<chiso range<12 	27.2252	19.183	3.61403	2.22527
25 <pt<30 	4<chiso range<13 	27.2252	18.1719	3.36906	2.68719
25 <pt<30 	5<chiso range<10 	27.2252	17.0224	3.56253	2.86392
25 <pt<30 	5<chiso range<11 	27.2252	18.3349	3.67165	2.42134
25 <pt<30 	5<chiso range<12 	27.2252	18.2239	3.56227	2.52684
25 <pt<30 	5<chiso range<13 	27.2252	17.1372	3.2841	3.07177
25 <pt<30 	6<chiso range<11 	27.2252	19.7849	4.18602	1.77742
25 <pt<30 	6<chiso range<12 	27.2252	19.4085	3.96406	1.97189
25 <pt<30 	6<chiso range<13 	27.2252	17.9619	3.57145	2.59371
25 <pt<30 	7<chiso range<12 	27.2252	20.6634	4.48019	1.46463
