pt range	chiso range	DataNumber	FakeNumber	TrueNumber	fitFake_number	fitTrue_number	closureFake_test	closureTrue_test
#######################################################################################
20 <pt<25 	3<chiso range<8 	34.3397	50.4171	33.6466	39.1504	6.95256e-310	2.15064	inf
20 <pt<25 	3<chiso range<9 	34.3397	50.4171	33.6466	39.5584	6.95256e-310	2.12456	inf
20 <pt<25 	3<chiso range<10 	34.3397	50.4171	33.6466	37.3082	6.95256e-310	2.81483	inf
20 <pt<25 	3<chiso range<11 	34.3397	50.4171	33.6466	37.5454	6.95256e-310	2.80628	inf
20 <pt<25 	3<chiso range<12 	34.3397	50.4171	33.6466	37.4675	6.95256e-310	2.88122	inf
20 <pt<25 	3<chiso range<13 	34.3397	50.4171	33.6466	36.7487	6.95256e-310	3.13399	inf
20 <pt<25 	4<chiso range<9 	34.3397	50.4171	33.6466	38.9343	6.95256e-310	2.17018	inf
20 <pt<25 	4<chiso range<10 	34.3397	50.4171	33.6466	36.3331	6.95256e-310	2.98243	inf
20 <pt<25 	4<chiso range<11 	34.3397	50.4171	33.6466	36.7066	6.95256e-310	2.95353	inf
20 <pt<25 	4<chiso range<12 	34.3397	50.4171	33.6466	36.7397	6.95256e-310	3.00973	inf
20 <pt<25 	4<chiso range<13 	34.3397	50.4171	33.6466	36.1104	6.95256e-310	3.23858	inf
20 <pt<25 	5<chiso range<10 	34.3397	50.4171	33.6466	32.987	6.95256e-310	3.82263	inf
20 <pt<25 	5<chiso range<11 	34.3397	50.4171	33.6466	33.8999	6.95256e-310	3.65547	inf
20 <pt<25 	5<chiso range<12 	34.3397	50.4171	33.6466	34.262	6.95256e-310	3.64011	inf
20 <pt<25 	5<chiso range<13 	34.3397	50.4171	33.6466	33.3775	6.95256e-310	4.0059	inf
20 <pt<25 	6<chiso range<11 	34.3397	50.4171	33.6466	34.6454	6.95256e-310	3.1786	inf
20 <pt<25 	6<chiso range<12 	34.3397	50.4171	33.6466	35.0322	6.95256e-310	3.19282	inf
20 <pt<25 	6<chiso range<13 	34.3397	50.4171	33.6466	34.1883	6.95256e-310	3.52557	inf
20 <pt<25 	7<chiso range<12 	34.3397	50.4171	33.6466	34.2346	6.95256e-310	3.18729	inf
20 <pt<25 	7<chiso range<13 	34.3397	50.4171	33.6466	32.9941	6.95256e-310	3.67684	inf
20 <pt<25 	8<chiso range<13 	34.3397	50.4171	33.6466	31.5643	6.95256e-310	3.86466	inf
#######################################################################################
25 <pt<30 	3<chiso range<8 	22.9102	27.2252	22.5829	18.6144	6.95256e-310	2.32756	inf
25 <pt<30 	3<chiso range<9 	22.9102	27.2252	22.5829	19.0364	6.95256e-310	2.21482	inf
25 <pt<30 	3<chiso range<10 	22.9102	27.2252	22.5829	19.3369	6.95256e-310	2.1548	inf
25 <pt<30 	3<chiso range<11 	22.9102	27.2252	22.5829	19.9106	6.95256e-310	1.98952	inf
25 <pt<30 	3<chiso range<12 	22.9102	27.2252	22.5829	19.7975	6.92576e-310	2.06371	inf
25 <pt<30 	3<chiso range<13 	22.9102	27.2252	22.5829	18.8321	6.92576e-310	2.48201	inf
25 <pt<30 	4<chiso range<9 	22.9102	27.2252	22.5829	18.0921	6.92576e-310	2.46193	inf
25 <pt<30 	4<chiso range<10 	22.9102	27.2252	22.5829	18.6144	6.92576e-310	2.33238	inf
25 <pt<30 	4<chiso range<11 	22.9102	27.2252	22.5829	19.4097	6.92576e-310	2.09693	inf
25 <pt<30 	4<chiso range<12 	22.9102	27.2252	22.5829	19.183	6.92576e-310	2.22527	inf
25 <pt<30 	4<chiso range<13 	22.9102	27.2252	22.5829	18.1719	6.92576e-310	2.68719	inf
25 <pt<30 	5<chiso range<10 	22.9102	27.2252	22.5829	17.0224	6.92576e-310	2.86392	inf
25 <pt<30 	5<chiso range<11 	22.9102	27.2252	22.5829	18.3349	6.92576e-310	2.42134	inf
25 <pt<30 	5<chiso range<12 	22.9102	27.2252	22.5829	18.2239	6.92576e-310	2.52684	inf
25 <pt<30 	5<chiso range<13 	22.9102	27.2252	22.5829	17.1372	6.92576e-310	3.07177	inf
25 <pt<30 	6<chiso range<11 	22.9102	27.2252	22.5829	19.7849	6.92576e-310	1.77742	inf
25 <pt<30 	6<chiso range<12 	22.9102	27.2252	22.5829	19.4085	6.92576e-310	1.97189	inf
25 <pt<30 	6<chiso range<13 	22.9102	27.2252	22.5829	17.9619	6.92576e-310	2.59371	inf
25 <pt<30 	7<chiso range<12 	22.9102	27.2252	22.5829	20.6634	6.92576e-310	1.46463	inf
25 <pt<30 	7<chiso range<13 	22.9102	27.2252	22.5829	18.9063	6.92576e-310	2.1083	inf
25 <pt<30 	8<chiso range<13 	22.9102	27.2252	22.5829	17.8809	6.92576e-310	2.33082	inf
#######################################################################################
30 <pt<50 	3<chiso range<8 	42.4449	31.1241	41.7839	21.8408	6.92576e-310	2.33096	inf
30 <pt<50 	3<chiso range<9 	42.4449	31.1241	41.7839	21.8463	6.92576e-310	2.3905	inf
30 <pt<50 	3<chiso range<10 	42.4449	31.1241	41.7839	21.5162	6.92576e-310	2.56221	inf
30 <pt<50 	3<chiso range<11 	42.4449	31.1241	41.7839	21.1865	6.92576e-310	2.72589	inf
30 <pt<50 	3<chiso range<12 	42.4449	31.1241	41.7839	21.3499	6.92576e-310	2.68841	inf
30 <pt<50 	3<chiso range<13 	42.4449	31.1241	41.7839	22.0314	6.92576e-310	2.44928	inf
30 <pt<50 	4<chiso range<9 	42.4449	31.1241	41.7839	21.109	6.92576e-310	2.55431	inf
30 <pt<50 	4<chiso range<10 	42.4449	31.1241	41.7839	20.7819	6.92576e-310	2.75282	inf
30 <pt<50 	4<chiso range<11 	42.4449	31.1241	41.7839	20.472	6.92576e-310	2.92787	inf
30 <pt<50 	4<chiso range<12 	42.4449	31.1241	41.7839	20.7225	6.92576e-310	2.8645	inf
30 <pt<50 	4<chiso range<13 	42.4449	31.1241	41.7839	21.5496	6.92576e-310	2.57043	inf
30 <pt<50 	5<chiso range<10 	42.4449	31.1241	41.7839	20.4342	6.92576e-310	2.77354	inf
30 <pt<50 	5<chiso range<11 	42.4449	31.1241	41.7839	20.0739	6.92576e-310	2.98589	inf
30 <pt<50 	5<chiso range<12 	42.4449	31.1241	41.7839	20.4046	6.92576e-310	2.90426	inf
30 <pt<50 	5<chiso range<13 	42.4449	31.1241	41.7839	21.45	6.92576e-310	2.53796	inf
30 <pt<50 	6<chiso range<11 	42.4449	31.1241	41.7839	19.4756	6.92576e-310	3.10452	inf
30 <pt<50 	6<chiso range<12 	42.4449	31.1241	41.7839	19.9705	6.92576e-310	2.97348	inf
30 <pt<50 	6<chiso range<13 	42.4449	31.1241	41.7839	21.2045	6.92576e-310	2.54743	inf
30 <pt<50 	7<chiso range<12 	42.4449	31.1241	41.7839	21.0643	6.92576e-310	2.40094	inf
30 <pt<50 	7<chiso range<13 	42.4449	31.1241	41.7839	22.6	6.92576e-310	1.96052	inf
30 <pt<50 	8<chiso range<13 	42.4449	31.1241	41.7839	22.2252	6.92576e-310	1.93349	inf
#######################################################################################
50 <pt<400 	3<chiso range<8 	31.1566	8.20117	30.7459	6.46904	6.92576e-310	0.670145	inf
50 <pt<400 	3<chiso range<9 	31.1566	8.20117	30.7459	6.56243	6.92576e-310	0.636053	inf
50 <pt<400 	3<chiso range<10 	31.1566	8.20117	30.7459	6.36229	6.92576e-310	0.746293	inf
50 <pt<400 	3<chiso range<11 	31.1566	8.20117	30.7459	6.08512	6.92576e-310	0.914839	inf
50 <pt<400 	3<chiso range<12 	31.1566	8.20117	30.7459	6.36993	6.92576e-310	0.766735	inf
50 <pt<400 	3<chiso range<13 	31.1566	8.20117	30.7459	6.37813	6.92576e-310	0.778771	inf
50 <pt<400 	4<chiso range<9 	31.1566	8.20117	30.7459	6.72955	6.92576e-310	0.537213	inf
50 <pt<400 	4<chiso range<10 	31.1566	8.20117	30.7459	6.45613	6.92576e-310	0.677993	inf
50 <pt<400 	4<chiso range<11 	31.1566	8.20117	30.7459	6.30235	6.92576e-310	0.785321	inf
50 <pt<400 	4<chiso range<12 	31.1566	8.20117	30.7459	6.62666	6.92576e-310	0.630074	inf
50 <pt<400 	4<chiso range<13 	31.1566	8.20117	30.7459	6.42194	6.92576e-310	0.744759	inf
50 <pt<400 	5<chiso range<10 	31.1566	8.20117	30.7459	7.08468	6.92576e-310	0.380971	inf
50 <pt<400 	5<chiso range<11 	31.1566	8.20117	30.7459	6.70483	6.92576e-310	0.567217	inf
50 <pt<400 	5<chiso range<12 	31.1566	8.20117	30.7459	6.98267	6.92576e-310	0.452389	inf
50 <pt<400 	5<chiso range<13 	31.1566	8.20117	30.7459	6.68891	6.92576e-310	0.596508	inf
50 <pt<400 	6<chiso range<11 	31.1566	8.20117	30.7459	6.49338	6.92576e-310	0.586001	inf
50 <pt<400 	6<chiso range<12 	31.1566	8.20117	30.7459	6.8543	6.92576e-310	0.466197	inf
50 <pt<400 	6<chiso range<13 	31.1566	8.20117	30.7459	6.64962	6.92576e-310	0.60346	inf
50 <pt<400 	7<chiso range<12 	31.1566	8.20117	30.7459	6.89843	6.92576e-310	0.465514	inf
50 <pt<400 	7<chiso range<13 	31.1566	8.20117	30.7459	6.46058	6.92576e-310	0.681067	inf
50 <pt<400 	8<chiso range<13 	31.1566	8.20117	30.7459	5.8301	6.92576e-310	1.01098	inf
#######################################################################################
